Date,Open,High,Low,Close,Volume
2010-01-04,770.0,774.8,760.1,765.4,185867
2010-01-05,766.0,771.95,762.0,763.45,158932
2010-01-06,769.65,771.45,760.25,763.7,201649
2010-01-07,764.0,790.0,763.2,782.3,398495
2010-01-08,786.15,802.9,783.35,796.0,712092
2010-01-11,798.0,823.0,798.0,820.65,533030
2010-01-12,821.6,823.0,794.5,799.25,350610
2010-01-13,790.0,822.8,789.0,819.3,445459
2010-01-14,823.0,858.5,812.7,853.95,1072540
2010-01-15,855.0,874.9,850.05,856.3,765315
2010-01-18,848.2,864.9,845.2,859.15,323997
2010-01-19,859.65,860.0,834.15,840.1,267066
2010-01-20,848.8,865.2,840.45,859.7,319542
2010-01-21,861.0,881.5,833.4,838.05,612385
2010-01-22,820.0,829.65,801.0,807.75,485662
2010-01-25,807.75,828.5,807.75,815.0,268528
2010-01-27,814.65,814.85,769.15,778.45,342719
2010-01-28,789.65,804.4,775.85,786.25,225664
2010-01-29,780.0,823.4,769.0,811.0,371078
2010-02-01,811.0,823.0,800.0,813.4,217791
2010-02-02,820.0,823.9,802.35,807.3,339530
2010-02-03,817.7,824.0,807.25,809.75,251690
2010-02-04,808.0,812.7,786.1,792.8,191830
2010-02-05,788.7,788.7,772.0,777.8,145041
2010-02-06,781.8,789.0,780.0,784.0,23096
2010-02-08,785.0,798.25,767.65,790.75,265075
2010-02-09,790.0,802.0,781.0,784.6,184763
2010-02-10,790.0,805.5,785.25,789.9,201942
2010-02-11,792.2,807.45,790.1,792.3,103507
2010-02-15,793.0,798.75,789.1,794.15,114623
2010-02-16,795.0,803.0,786.55,800.7,156539
2010-02-17,802.85,813.9,798.0,803.05,161544
2010-02-18,803.0,809.65,796.55,801.05,127695
2010-02-19,799.8,809.95,786.1,806.85,132706
2010-02-22,812.65,820.35,798.0,801.35,141887
2010-02-23,799.0,812.0,799.0,807.3,306784
2010-02-24,808.0,818.0,802.0,811.05,183173
2010-02-25,815.9,818.8,803.1,809.75,106703
2010-02-26,812.1,824.0,787.0,794.6,387877
2010-03-02,805.0,805.0,775.0,782.5,404346
2010-03-03,785.0,799.85,778.55,796.95,254061
2010-03-04,792.0,805.0,791.05,799.85,163310
2010-03-05,801.0,824.9,798.0,822.2,407946
2010-03-08,830.0,849.6,825.0,846.2,521689
2010-03-09,852.0,854.5,834.5,838.6,243235
2010-03-10,840.0,850.6,835.0,846.25,194785
2010-03-11,840.2,875.0,840.2,871.9,458674
2010-03-12,875.0,879.0,862.25,870.4,306190
2010-03-15,872.0,875.0,840.25,845.9,162578
2010-03-16,851.8,851.8,837.35,847.15,227913
2010-03-17,848.2,872.7,848.2,861.1,261257
2010-03-18,861.2,867.0,846.1,851.6,122867
2010-03-19,853.1,859.8,845.0,847.4,124191
2010-03-22,840.0,850.9,830.1,835.45,114280
2010-03-23,840.3,844.9,827.35,832.4,121872
2010-03-25,836.6,843.0,819.1,822.95,383459
2010-03-26,826.2,841.85,825.0,827.65,410062
2010-03-29,831.5,831.9,818.3,823.55,597518
2010-03-30,830.0,830.8,816.2,824.65,449556
2010-03-31,828.0,835.0,825.5,830.0,391955
2010-04-01,830.0,840.25,826.8,829.5,305460
2010-04-05,835.75,855.5,821.1,845.55,518816
2010-04-06,854.8,857.5,836.3,841.2,533449
2010-04-07,842.0,847.5,828.05,835.15,245214
2010-04-08,840.1,840.1,821.0,825.8,207098
2010-04-09,828.95,852.8,823.0,847.8,452526
2010-04-12,851.0,859.0,837.25,845.8,283858
2010-04-13,848.5,848.5,839.15,841.5,127014
2010-04-15,847.8,854.1,827.0,833.95,339206
2010-04-16,834.0,851.0,832.0,845.6,330180
