Date,Open,High,Low,Close,Volume
2010-01-04,202.1,214.5,202.1,211.55,140112
2010-01-05,213.95,216.95,212.1,213.5,211831
2010-01-06,215.0,218.9,212.25,214.8,294856
2010-01-07,215.4,220.0,211.0,217.4,433383
2010-01-08,219.0,221.75,217.0,218.45,184456
2010-01-11,218.45,262.15,218.45,260.65,5917772
2010-01-12,264.15,270.6,255.5,259.0,4595004
2010-01-13,252.6,254.1,243.0,247.0,928085
2010-01-14,249.1,260.0,247.5,250.35,534685
2010-01-15,251.0,300.45,249.6,299.5,4995694
2010-01-18,305.0,333.0,293.0,315.1,4546763
2010-01-19,314.9,318.0,300.6,303.85,1099530
2010-01-20,305.1,324.7,305.1,309.65,1884928
2010-01-21,310.0,321.0,303.3,309.7,1079653
2010-01-22,296.65,318.8,282.5,297.95,1985846
2010-01-25,297.0,306.2,281.55,291.7,572196
2010-01-27,293.0,298.95,267.1,272.9,1147458
2010-01-28,278.75,281.45,269.2,271.45,503217
2010-01-29,268.0,303.0,265.0,298.05,3095534
2010-02-01,294.5,319.4,294.5,312.5,3003707
2010-02-02,315.1,333.8,312.0,320.95,3316227
2010-02-03,324.8,342.0,322.05,336.15,2161454
2010-02-04,337.0,345.7,326.1,329.75,1790959
2010-02-05,320.0,323.1,296.0,300.5,1147592
2010-02-06,305.0,314.0,302.0,310.2,373835
2010-02-08,313.6,314.6,289.0,291.0,1047777
2010-02-09,292.5,300.5,282.8,297.25,1519306
2010-02-10,299.8,303.0,282.7,285.05,1383238
2010-02-11,288.6,292.45,285.1,286.75,546879
2010-02-15,289.0,289.6,272.0,273.2,590303
2010-02-16,275.0,275.65,258.0,262.8,1315944
2010-02-17,265.9,273.4,260.0,261.7,1065843
2010-02-18,264.35,264.35,248.5,250.35,697883
2010-02-19,249.0,266.0,242.2,260.15,3673798
2010-02-22,265.0,266.9,251.0,253.05,1175100
2010-02-23,253.05,253.05,245.2,246.7,571335
2010-02-24,243.0,248.0,236.55,241.3,496779
2010-02-25,242.45,244.9,238.1,239.35,421964
2010-02-26,249.9,249.9,238.5,242.05,383487
2010-03-02,244.9,257.0,242.1,255.05,1177183
2010-03-03,256.9,261.85,254.3,256.3,911330
2010-03-04,257.3,262.0,250.0,255.8,832904
2010-03-05,257.5,264.4,256.05,256.85,901424
2010-03-08,260.0,266.5,258.55,263.15,1092362
2010-03-09,264.8,264.8,256.2,257.4,382737
2010-03-10,258.8,268.4,256.1,263.05,1310181
2010-03-11,266.0,271.15,263.45,266.2,1124825
2010-03-12,268.25,268.85,260.1,261.85,355130
2010-03-15,260.0,264.5,257.0,258.0,300553
2010-03-16,259.0,262.5,257.45,260.4,281261
2010-03-17,262.5,265.35,258.9,260.25,351590
2010-03-18,260.0,262.75,258.0,259.9,200971
2010-03-19,260.7,265.0,258.5,263.2,352643
2010-03-22,261.4,269.0,258.0,261.4,996322
2010-03-23,265.0,267.8,261.25,262.35,414463
2010-03-25,261.85,263.6,259.3,260.25,190723
2010-03-26,261.4,262.5,256.0,257.35,205450
2010-03-29,259.8,259.8,251.35,253.8,177371
2010-03-30,254.8,256.5,251.0,252.0,130396
2010-03-31,254.8,257.3,250.15,250.7,224975
2010-04-01,252.8,261.35,251.55,259.45,590684
2010-04-05,262.7,265.4,258.2,263.05,573467
2010-04-06,264.5,267.65,260.4,263.95,561836
2010-04-07,267.35,277.25,265.4,272.7,1187178
2010-04-08,275.0,277.0,268.1,270.05,499519
2010-04-09,270.75,275.45,268.95,274.05,383801
2010-04-12,274.95,276.45,269.1,272.0,188508
2010-04-13,273.0,275.25,269.45,270.85,295087
2010-04-15,272.05,282.45,270.65,273.8,1441251
2010-04-16,274.1,276.5,265.1,266.7,813057
2010-04-19,261.8,263.6,250.0,251.3,535124
2010-04-20,254.0,255.2,245.6,247.25,690370
2010-04-21,249.7,257.5,249.3,253.55,551995
2010-04-22,252.0,254.7,248.7,249.45,302341
2010-04-23,251.5,256.0,251.0,252.0,431097
2010-04-26,255.0,256.0,250.05,254.95,579847
2010-04-27,254.7,273.8,254.7,266.2,3087577
2010-04-28,264.55,265.0,254.6,257.05,747782
2010-04-29,257.2,268.45,256.25,266.0,732119
2010-04-30,269.0,272.9,263.1,264.6,695736
2010-05-03,264.6,264.6,260.0,262.55,217031
2010-05-04,263.0,265.4,255.5,256.65,341496
2010-05-05,252.9,258.0,246.0,256.6,325444
2010-05-06,257.0,257.0,251.0,253.75,265529
2010-05-07,247.55,250.0,241.0,243.0,206909
2010-05-10,248.0,253.0,245.6,252.15,200126
2010-05-11,253.95,255.7,246.25,247.35,184286
2010-05-12,247.35,251.8,242.1,245.85,179857
2010-05-13,248.1,275.5,248.1,273.2,2386527
2010-05-14,270.9,275.0,260.1,262.35,1045241
2010-05-17,257.75,259.9,247.75,256.75,383746
2010-05-18,257.25,269.0,257.25,260.75,744068
2010-05-19,258.0,259.25,247.5,248.45,252000
2010-05-20,250.95,254.7,243.3,244.2,197027
2010-05-21,240.0,246.0,235.25,242.65,207709
2010-05-24,247.0,252.95,237.0,240.1,237846
2010-05-25,237.1,238.1,231.0,235.4,256298
2010-05-26,237.7,242.4,236.15,240.0,193880
2010-05-27,241.8,246.45,236.65,239.7,256190
2010-05-28,244.0,247.8,242.5,244.35,159129
2010-05-31,243.5,261.2,243.5,253.25,544809
2010-06-01,251.0,254.85,242.15,244.55,195419
2010-06-02,246.0,253.7,246.0,249.45,255237
2010-06-03,253.0,257.5,251.55,253.65,230583
2010-06-04,251.5,254.0,249.15,250.35,88007
2010-06-07,245.2,258.9,240.15,250.55,611593
2010-06-08,252.0,255.0,244.4,246.95,152730
2010-06-09,247.2,249.9,245.5,246.95,93195
2010-06-10,247.1,254.1,247.0,250.2,222475
2010-06-11,253.35,253.7,247.65,248.6,165530
2010-06-14,251.0,254.4,250.0,251.75,162986
2010-06-15,251.5,255.0,251.5,253.0,184009
2010-06-16,254.5,259.4,253.0,253.55,238471
2010-06-17,253.5,258.8,252.55,255.45,188712
2010-06-18,255.9,262.4,253.2,257.05,426544
2010-06-21,261.0,263.4,257.0,258.5,201502
2010-06-22,255.8,260.8,254.0,258.2,206365
2010-06-23,255.1,259.9,254.25,256.7,81118
2010-06-24,261.2,269.9,260.95,268.45,821437
2010-06-25,271.0,276.8,266.0,268.3,1258685
2010-06-28,269.3,270.0,262.0,265.95,257987
2010-06-29,264.6,268.0,258.1,259.65,175888
2010-06-30,257.0,265.8,255.0,261.3,231950
2010-07-01,260.0,261.4,258.0,259.1,94702
2010-07-02,264.7,264.7,257.1,258.75,134186
2010-07-05,259.3,260.5,255.1,257.9,51648
2010-07-06,256.0,260.0,255.6,257.85,63524
2010-07-07,257.0,261.5,256.1,257.6,107648
2010-07-08,261.0,261.0,257.05,257.6,80831
2010-07-09,259.95,264.9,258.35,259.85,303635
2010-07-12,261.5,263.5,258.65,260.95,251058
2010-07-13,261.5,262.0,258.5,259.3,87710
2010-07-14,260.5,264.5,255.25,257.8,209841
2010-07-15,257.1,261.45,256.0,259.5,92734
2010-07-16,258.8,261.45,256.0,257.1,83960
2010-07-19,257.0,264.35,256.2,259.2,336162
2010-07-20,262.4,262.4,254.45,255.15,108734
2010-07-21,255.25,258.5,255.25,256.35,79316
2010-07-22,255.0,257.85,254.05,255.9,90000
2010-07-23,256.35,259.9,252.5,254.45,159014
2010-07-26,254.6,256.4,248.0,249.25,102631
2010-07-27,252.35,252.35,244.5,245.6,124061
2010-07-28,244.85,245.45,241.65,243.05,138829
2010-07-29,244.1,244.3,236.0,236.9,280306
2010-07-30,238.8,242.0,235.2,237.75,119770
2010-08-02,239.0,246.6,236.55,243.8,238890
2010-08-03,244.25,250.2,242.0,247.85,240775
2010-08-04,250.0,255.75,249.6,250.5,491289
2010-08-05,252.4,264.8,249.1,262.7,1279157
2010-08-06,263.8,264.6,253.9,255.2,479663
2010-08-09,256.55,262.7,254.05,260.0,364163
2010-08-10,260.3,265.5,256.05,257.95,496747
2010-08-11,255.35,259.45,251.0,252.9,149998
2010-08-12,251.2,252.4,240.1,249.5,195089
2010-08-13,250.6,256.65,249.05,252.1,214718
2010-08-16,248.0,252.1,243.0,244.15,158149
2010-08-17,243.9,249.0,241.35,242.7,105794
2010-08-18,242.7,251.5,242.0,247.75,255076
2010-08-19,248.95,248.95,245.0,246.65,88492
2010-08-20,242.65,249.0,242.65,245.2,105165
2010-08-23,241.0,247.75,241.0,244.15,93060
2010-08-24,245.7,246.3,240.1,242.0,116447
2010-08-25,242.0,242.4,237.0,238.25,93636
2010-08-26,239.65,243.5,233.0,234.2,221452
2010-08-27,236.0,242.9,232.4,236.55,384026
2010-08-30,238.0,238.85,232.55,235.25,147828
2010-08-31,235.5,235.5,226.1,229.4,292915
2010-09-01,232.0,237.0,230.0,235.2,128102
2010-09-02,236.25,239.5,234.5,235.6,104719
2010-09-03,236.05,239.5,232.55,234.85,269088
2010-09-06,235.6,239.9,235.6,237.55,132307
2010-09-07,238.9,249.7,236.15,244.1,502544
2010-09-08,246.4,251.45,242.15,245.7,340277
2010-09-09,248.0,259.65,244.3,252.4,547997
2010-09-13,254.05,255.0,248.6,249.6,186814
2010-09-14,251.9,251.9,244.2,245.05,129870
2010-09-15,245.9,247.95,242.1,243.35,138078
2010-09-16,243.35,243.35,236.05,236.9,101981
2010-09-17,237.5,244.55,237.15,242.3,142972
2010-09-20,241.9,244.4,240.0,240.55,265187
2010-09-21,241.95,243.45,237.15,238.4,76349
2010-09-22,238.1,239.95,236.05,237.1,103009
2010-09-23,238.0,244.45,236.1,241.25,271506
2010-09-24,243.0,247.0,241.25,244.35,212743
2010-09-27,246.0,250.3,242.25,243.05,374932
2010-09-28,243.0,248.0,240.75,246.5,179671
2010-09-29,247.4,248.45,243.1,243.95,116548
2010-09-30,243.0,244.3,238.25,239.65,239124
2010-10-01,241.9,245.9,240.7,243.45,68967
2010-10-04,243.2,254.95,243.2,253.6,465227
2010-10-05,255.8,270.7,255.0,268.0,1137804
2010-10-06,274.05,299.35,270.05,284.65,4150667
2010-10-07,285.0,290.05,272.85,278.95,1033746
2010-10-08,281.15,295.4,275.35,293.65,1612192
2010-10-11,296.0,307.3,296.0,304.5,1434034
2010-10-12,306.0,321.8,306.0,319.0,1741164
2010-10-13,320.0,322.2,315.1,318.9,747688
2010-10-14,319.4,326.95,307.5,313.2,702394
2010-10-15,312.9,316.15,306.0,311.55,570778
2010-10-18,310.0,319.85,298.3,316.15,568888
2010-10-19,314.9,322.0,303.05,305.35,288429
2010-10-20,300.95,331.3,300.95,325.1,3070972
