Date,Open,High,Low,Close,Volume
2010-01-04,870.0,920.0,870.0,913.6,852434
2010-01-05,920.55,926.4,898.05,901.75,439209
2010-01-06,904.5,912.5,895.35,907.6,517109
2010-01-07,910.0,926.0,905.65,913.35,403862
2010-01-08,917.7,924.7,907.6,912.15,284905
2010-01-11,917.8,925.0,912.0,915.15,200026
2010-01-12,915.0,918.0,895.0,898.05,271126
2010-01-13,900.0,955.0,890.0,946.25,770221
2010-01-14,958.0,974.25,951.9,955.1,722368
2010-01-15,955.2,989.9,946.6,980.8,1120261
2010-01-18,972.2,989.0,971.1,981.95,611660
2010-01-19,979.0,980.0,945.6,952.3,740734
2010-01-20,948.2,963.0,939.0,952.0,399453
2010-01-21,953.0,957.7,932.0,942.0,316618
2010-01-22,926.5,942.0,905.0,923.95,420182
2010-01-25,920.0,931.0,891.0,903.7,342080
2010-01-27,890.0,904.2,871.6,881.9,595719
2010-01-28,880.6,897.0,862.6,868.65,577009
2010-01-29,864.7,889.0,859.4,871.7,420031
2010-02-01,873.0,883.0,861.25,873.3,375181
2010-02-02,879.85,894.9,868.25,872.4,684694
2010-02-03,873.5,893.25,873.25,883.85,363644
2010-02-04,885.1,889.0,848.5,856.85,489416
2010-02-05,848.7,854.0,824.7,845.55,481157
2010-02-06,846.0,855.4,846.0,850.55,33243
2010-02-08,840.0,859.0,830.0,842.65,323712
2010-02-09,860.0,871.35,831.2,867.75,519891
2010-02-10,874.7,885.0,865.2,869.9,565180
2010-02-11,872.1,891.1,872.1,885.9,464079
2010-02-15,886.0,888.95,873.5,875.75,170647
2010-02-16,880.0,919.85,870.5,913.85,454528
2010-02-17,925.0,946.0,912.0,916.65,415569
2010-02-18,922.0,922.0,905.35,908.8,175958
2010-02-19,892.4,913.9,892.4,901.85,307547
2010-02-22,908.0,921.0,901.35,906.65,275189
2010-02-23,906.95,914.7,900.0,904.95,271280
2010-02-24,890.0,913.9,890.0,905.15,323657
2010-02-25,903.35,922.5,896.0,919.35,429946
2010-02-26,923.0,929.8,906.1,923.1,401795
2010-03-02,913.9,974.5,913.9,962.0,942675
