Date,Open,High,Low,Close,Volume
2010-01-04,192.0,198.9,192.0,195.65,27561
2010-01-05,198.8,198.8,191.4,195.3,98267
2010-01-06,196.1,197.0,191.1,192.9,32460
2010-01-07,193.5,194.85,189.05,193.1,40196
2010-01-08,192.3,200.0,192.0,192.1,31963
2010-01-11,194.05,197.75,192.5,194.75,34173
2010-01-12,191.35,204.95,191.35,192.9,78568
2010-01-13,194.6,198.5,192.9,195.85,39872
2010-01-14,198.0,199.0,193.5,194.4,40083
2010-01-15,195.0,213.0,194.15,200.6,173112
2010-01-18,203.15,210.0,202.5,204.45,71185
2010-01-19,205.3,209.7,197.05,198.6,51985
2010-01-20,202.5,203.5,198.0,198.6,35505
2010-01-21,197.0,204.5,190.85,193.35,78903
2010-01-22,191.1,192.95,183.0,188.55,29804
2010-01-25,190.0,191.8,187.2,188.7,30572
2010-01-27,191.0,198.0,175.25,185.85,51289
2010-01-28,185.85,190.25,182.0,187.6,48992
2010-01-29,187.85,195.6,175.0,186.95,71442
2010-02-01,192.0,198.0,187.1,189.55,56185
2010-02-02,199.5,199.5,185.0,187.75,37304
2010-02-03,191.0,197.75,187.1,189.2,38115
2010-02-04,191.5,192.0,186.1,188.3,25448
2010-02-05,183.0,189.75,178.0,186.05,36776
2010-02-06,188.9,192.0,187.3,190.6,8369
2010-02-08,192.2,194.45,187.0,189.0,30372
2010-02-09,189.0,190.0,186.15,188.4,27761
2010-02-10,185.0,190.0,181.0,183.65,29121
2010-02-11,181.9,187.75,181.85,184.45,33440
2010-02-15,186.95,187.0,182.25,184.4,25258
2010-02-16,193.3,193.3,181.0,181.8,27034
2010-02-17,188.0,188.0,179.15,181.05,31042
2010-02-18,181.05,187.0,177.2,181.4,602914
2010-02-19,180.8,182.95,173.1,175.65,28303
2010-02-22,177.2,193.5,162.0,181.7,561942
2010-02-23,174.1,188.0,172.0,185.1,86838
2010-02-24,178.0,185.0,178.0,181.45,23264
2010-02-25,180.4,180.6,176.1,178.75,12120
2010-02-26,176.6,181.95,176.0,178.85,20851
2010-03-02,181.4,182.0,172.0,179.35,18195
2010-03-03,192.0,192.0,175.05,176.35,53139
2010-03-04,176.35,179.95,176.0,176.85,8355
2010-03-05,178.85,183.0,175.0,180.9,15495
2010-03-08,182.0,186.0,177.25,183.6,20108
2010-03-09,182.0,183.0,177.0,182.5,14200
2010-03-10,180.0,185.0,179.7,182.25,8829
2010-03-11,180.25,184.85,175.0,179.25,26528
2010-03-12,181.45,184.25,176.1,180.1,8328
2010-03-15,179.0,183.75,177.6,179.35,9836
2010-03-16,182.8,182.8,176.55,179.05,12029
2010-03-17,181.95,182.5,176.5,177.3,5093
2010-03-18,180.0,187.15,178.35,182.05,18594
2010-03-19,182.25,187.0,181.5,186.0,10590
2010-03-22,185.85,188.0,181.65,185.45,5271
2010-03-23,183.7,188.1,183.05,186.3,7616
2010-03-25,184.35,186.9,183.45,184.55,5438
2010-03-26,186.4,186.75,182.0,182.75,57881
2010-03-29,182.1,185.45,181.05,181.75,9084
2010-03-30,184.5,186.8,182.0,184.8,6493
2010-03-31,185.0,189.9,182.5,186.45,25161
2010-04-01,187.8,192.0,184.25,187.25,11500
2010-04-05,190.25,194.0,186.15,187.0,10054
2010-04-06,190.05,193.9,183.25,186.55,90949
2010-04-07,188.9,192.0,183.0,184.95,79670
2010-04-08,185.0,188.0,184.0,184.9,17540
2010-04-09,181.0,188.9,181.0,186.0,13838
2010-04-12,185.9,187.5,183.0,183.95,67835
2010-04-13,184.95,188.9,183.45,184.2,24178
2010-04-15,186.5,201.5,185.2,187.3,281836
2010-04-16,188.0,193.75,186.2,187.35,73221
2010-04-19,185.9,185.9,181.0,181.8,14237
2010-04-20,185.0,191.8,183.35,186.15,23932
2010-04-21,192.5,192.5,185.0,185.55,10611
2010-04-22,185.75,189.4,185.05,187.3,6453
2010-04-23,187.3,192.4,187.3,189.95,14232
2010-04-26,191.85,191.85,183.3,184.8,38488
2010-04-27,187.0,190.0,183.0,183.95,131755
2010-04-28,178.0,188.9,178.0,184.5,28876
2010-04-29,185.0,186.75,184.0,184.7,6173
2010-04-30,186.0,192.8,184.0,188.35,11948
2010-05-03,186.0,188.9,185.4,185.7,3604
2010-05-04,188.0,188.2,181.5,186.2,86436
2010-05-05,186.0,192.8,183.0,187.2,22767
2010-05-06,187.5,187.5,182.5,184.95,18818
2010-05-07,184.95,197.8,183.0,185.85,110400
2010-05-10,186.0,190.9,184.15,184.85,10112
2010-05-11,184.0,188.0,179.05,180.4,347360
2010-05-12,182.0,187.95,181.0,182.65,7483
2010-05-13,186.0,186.0,182.05,182.4,8408
2010-05-14,183.05,184.4,178.3,179.45,5449
