Date,Open,High,Low,Close,Volume
2010-01-04,47.63,49.46,47.18,49.2,285126
2010-01-05,49.36,50.55,49.36,50.34,349511
2010-01-06,50.45,56.33,50.12,55.31,1122953
2010-01-07,56.59,56.59,52.62,53.03,729468
2010-01-08,53.37,55.35,52.54,53.7,509498
2010-01-11,53.82,55.23,53.82,54.66,183421
2010-01-12,54.97,55.78,50.3,51.06,578227
2010-01-13,51.74,52.18,49.9,50.49,728048
2010-01-14,51.18,53.06,50.89,52.57,482105
2010-01-15,52.84,53.1,51.5,52.56,208602
2010-01-18,51.88,52.56,51.67,51.93,563744
2010-01-19,52.28,53.16,51.21,51.73,82478
2010-01-20,52.3,52.6,51.32,52.1,113360
2010-01-21,51.21,52.28,50.66,50.95,82925
2010-01-22,50.45,51.43,48.48,50.51,94469
2010-01-25,49.57,50.34,48.62,49.5,769461
2010-01-27,49.68,49.99,47.13,48.5,481788
2010-01-28,48.5,49.36,48.05,48.47,400075
2010-01-29,47.61,48.59,46.86,48.29,120703
2010-02-01,47.61,50.54,47.61,49.87,109156
2010-02-02,50.34,52.29,49.48,50.87,467237
2010-02-03,51.21,53.17,50.89,53.01,207410
2010-02-04,52.3,52.76,51.54,52.13,101076
2010-02-05,50.12,51.43,48.16,50.87,175861
2010-02-06,51.2,51.97,50.8,51.09,10801
2010-02-08,50.12,52.3,50.12,51.43,600302
2010-02-09,51.43,52.79,50.94,52.16,601822
2010-02-10,51.21,52.94,51.21,52.42,57191
2010-02-11,51.97,53.71,51.97,52.92,357663
2010-02-15,53.39,54.04,52.95,53.31,168811
2010-02-16,53.93,54.57,53.5,54.23,129018
2010-02-17,55.58,57.3,54.74,56.51,748471
2010-02-18,56.48,56.48,54.05,54.9,245760
2010-02-19,53.5,54.96,52.3,53.88,231152
2010-02-22,54.59,54.69,52.85,53.6,253894
2010-02-23,53.6,54.19,53.08,53.52,148058
2010-02-24,53.17,53.61,52.84,53.47,137367
2010-02-25,52.3,53.7,52.3,53.0,273827
2010-02-26,53.06,54.01,52.31,53.02,455452
2010-03-02,53.39,53.39,45.6,52.91,572930
2010-03-03,52.95,54.63,52.95,53.96,426944
2010-03-04,54.15,55.56,53.21,53.87,405879
2010-03-05,53.93,55.2,53.74,54.9,193989
2010-03-08,55.35,55.56,54.69,55.09,181276
2010-03-09,55.05,55.22,54.38,54.99,72742
2010-03-10,55.02,55.02,52.52,52.98,135787
2010-03-11,49.27,52.84,49.27,51.71,167827
2010-03-12,51.97,53.14,51.75,52.29,95945
2010-03-15,52.41,52.73,51.65,52.32,69449
2010-03-16,52.78,53.39,52.3,53.06,92962
2010-03-17,53.8,53.8,52.19,52.48,328831
2010-03-18,54.25,54.25,51.75,52.3,104272
2010-03-19,51.21,52.6,51.21,52.31,140904
2010-03-22,52.19,52.19,50.45,50.74,287443
2010-03-23,50.88,51.48,49.7,50.63,89324
2010-03-25,49.82,51.75,49.79,51.25,141002
2010-03-26,50.66,52.03,50.66,51.62,77016
2010-03-29,51.65,52.84,50.9,51.37,290199
2010-03-30,52.08,53.17,50.99,51.64,321786
2010-03-31,50.35,52.52,50.35,51.18,195397
2010-04-01,51.43,52.45,51.43,52.21,207637
2010-04-05,52.73,53.27,52.09,53.03,280418
2010-04-06,53.21,53.67,52.46,52.72,348270
2010-04-07,52.95,54.26,52.89,53.62,522114
2010-04-08,53.77,54.37,53.17,53.56,380619
2010-04-09,53.39,53.93,52.84,53.34,138335
2010-04-12,53.28,53.61,52.68,52.88,103372
2010-04-13,53.27,53.45,51.98,53.35,90836
2010-04-15,53.5,53.5,52.74,53.15,181663
2010-04-16,52.96,53.3,52.53,52.8,72469
2010-04-19,52.3,54.23,51.97,53.77,193034
2010-04-20,54.38,57.42,53.61,56.92,707568
2010-04-21,57.4,59.71,57.09,59.31,522153
2010-04-22,59.6,60.8,57.04,60.3,367490
2010-04-23,62.02,63.92,59.71,61.32,371692
2010-04-26,61.45,62.76,60.8,62.45,423711
2010-04-27,62.54,64.81,61.84,63.25,1305419
2010-04-28,62.87,63.73,61.01,61.37,815043
2010-04-29,61.56,62.1,60.62,61.17,569363
2010-04-30,61.56,61.83,60.5,61.29,236341
2010-05-03,61.0,62.69,60.14,61.89,627849
2010-05-04,60.03,62.53,56.44,61.34,370071
2010-05-05,61.12,62.16,59.49,61.58,430138
2010-05-06,61.26,61.87,60.49,61.56,493810
2010-05-07,61.0,61.4,59.92,61.1,507904
2010-05-10,61.12,63.52,61.01,63.3,446405
2010-05-11,63.61,63.61,62.34,63.33,285364
2010-05-12,63.63,65.45,61.45,63.27,953483
2010-05-13,63.41,64.56,63.3,63.51,376801
2010-05-14,63.19,65.8,63.19,65.09,621436
2010-05-17,64.17,64.49,62.68,63.49,333782
2010-05-18,63.69,64.83,63.56,64.14,398686
2010-05-19,63.3,63.96,62.21,62.98,375603
2010-05-20,63.19,65.15,63.19,64.73,519062
2010-05-21,63.2,66.86,63.2,64.48,1081123
2010-05-24,63.19,66.23,59.71,64.69,1493632
