Date,Open,High,Low,Close,Volume
2010-01-04,281.0,286.2,281.0,283.9,7117
2010-01-05,286.6,289.8,282.0,282.4,9227
2010-01-06,281.25,289.5,281.25,287.35,9507
2010-01-07,288.95,289.9,278.0,280.7,11982
2010-01-08,287.6,288.0,280.65,286.15,8462
2010-01-11,289.8,289.9,281.3,282.15,6416
2010-01-12,263.1,286.9,263.1,282.15,3632
2010-01-13,282.0,285.9,276.1,280.6,5397
2010-01-14,294.9,294.9,280.1,282.3,10982
2010-01-15,285.25,288.0,281.0,283.2,5682
2010-01-18,282.5,286.4,281.05,281.5,1789
2010-01-19,286.5,286.5,276.0,277.35,3599
2010-01-20,278.0,283.9,276.0,282.6,8748
2010-01-21,283.0,291.0,270.25,271.95,20024
2010-01-22,269.95,278.0,260.0,276.1,20320
2010-01-25,275.0,279.0,273.6,275.05,11443
2010-01-27,275.0,275.0,261.1,264.7,17509
2010-01-28,263.9,271.0,255.05,260.15,6674
2010-01-29,265.0,268.5,251.5,267.65,4586
2010-02-01,248.9,289.65,243.0,283.65,17412
2010-02-02,283.65,289.7,266.3,267.95,18803
2010-02-03,269.5,274.5,268.55,270.6,2517
2010-02-04,265.0,289.0,265.0,271.1,3580
2010-02-05,265.0,268.0,262.0,263.9,6895
2010-02-06,262.0,268.8,262.0,266.9,953
2010-02-08,269.4,269.4,258.0,258.8,1105
2010-02-09,260.0,264.0,260.0,260.65,2239
2010-02-10,264.9,272.0,258.3,259.65,4795
2010-02-11,263.0,273.0,256.3,259.55,17223
2010-02-15,260.0,263.9,259.95,260.0,3090
2010-02-16,259.05,273.0,255.0,270.25,9235
2010-02-17,270.25,272.0,265.2,268.05,5580
2010-02-18,265.0,266.95,259.0,259.9,1725
2010-02-19,259.45,261.4,254.2,259.0,2441
2010-02-22,262.0,262.0,256.0,257.25,1537
2010-02-23,258.0,260.95,258.0,259.75,2532
2010-02-24,245.0,261.5,245.0,259.95,5756
2010-02-25,257.1,271.7,253.95,259.15,71958
2010-02-26,257.3,261.0,255.0,256.5,7927
2010-03-02,259.0,262.0,256.35,259.6,8017
2010-03-03,260.0,260.5,258.15,259.95,18050
2010-03-04,260.0,261.0,257.55,258.15,21910
2010-03-05,264.0,264.4,256.0,258.4,21013
2010-03-08,260.5,265.0,258.3,262.45,60282
2010-03-09,264.5,264.9,256.15,259.05,14277
2010-03-10,257.75,261.0,255.1,255.95,19292
2010-03-11,257.95,260.0,252.15,254.2,10339
2010-03-12,256.4,256.4,245.0,245.7,8385
2010-03-15,245.5,246.95,240.15,243.35,4438
2010-03-16,259.0,259.0,242.05,245.45,9920
2010-03-17,251.0,253.9,248.0,250.45,4268
2010-03-18,249.0,253.0,248.9,251.2,6969
2010-03-19,252.4,253.8,248.2,249.65,2169
2010-03-22,247.0,254.8,247.0,249.2,1490
2010-03-23,250.0,251.0,248.0,248.35,1108
2010-03-25,250.9,254.0,248.1,248.5,1121
2010-03-26,249.15,252.75,246.0,250.65,22513
2010-03-29,248.0,256.6,243.0,249.55,48793
2010-03-30,248.7,253.8,246.0,251.75,7797
2010-03-31,251.5,252.8,246.0,247.7,14032
2010-04-01,249.95,252.8,245.95,250.2,23566
2010-04-05,252.0,255.8,252.0,254.55,8393
2010-04-06,255.8,267.0,253.15,257.15,35364
2010-04-07,260.0,263.85,256.1,257.75,15160
2010-04-08,258.55,277.0,258.55,267.2,66896
2010-04-09,269.9,274.0,266.0,267.3,19482
2010-04-12,269.0,271.95,260.1,261.95,9261
2010-04-13,265.95,265.95,259.1,263.15,9172
2010-04-15,265.0,269.9,262.0,263.25,7077
2010-04-16,263.4,263.4,252.6,255.95,3841
2010-04-19,253.0,254.0,248.0,250.2,12877
2010-04-20,251.2,252.9,248.0,252.7,1642
2010-04-21,253.0,274.0,251.05,258.3,30374
2010-04-22,259.5,267.0,255.1,256.35,4919
2010-04-23,260.0,260.0,255.1,256.05,1892
2010-04-26,259.0,260.75,251.1,252.65,4741
2010-04-27,256.0,268.0,255.1,259.85,18186
2010-04-28,253.0,263.0,253.0,261.1,6368
2010-04-29,261.0,263.8,261.0,261.9,4121
2010-04-30,261.8,268.0,261.8,262.65,13718
2010-05-03,264.5,269.9,264.0,265.6,3007
2010-05-04,264.1,265.9,250.05,254.85,2688
2010-05-05,247.45,256.2,246.0,254.15,3688
2010-05-06,257.0,257.0,250.05,251.0,3115
2010-05-07,237.0,254.8,237.0,246.2,5639
2010-05-10,249.0,253.9,247.1,251.0,3212
2010-05-11,253.9,254.0,246.1,250.1,6165
2010-05-12,250.0,250.1,247.0,247.85,549
2010-05-13,249.45,254.95,249.0,249.3,1217
2010-05-14,251.0,253.0,248.0,251.55,2157
2010-05-17,250.0,252.0,246.3,249.5,2248
2010-05-18,250.95,257.0,247.25,250.0,5424
2010-05-19,254.95,255.0,248.1,250.0,10540
2010-05-20,248.5,250.0,205.0,232.0,349027
2010-05-21,221.15,235.0,221.15,227.75,22566
2010-05-24,230.05,232.0,225.0,225.55,3021
2010-05-25,225.0,230.0,220.0,225.8,6715
2010-05-26,223.0,228.0,223.0,227.55,396
2010-05-27,223.1,236.0,223.0,231.3,3385
2010-05-28,236.9,245.0,235.1,239.4,3780
2010-05-31,242.0,245.0,234.0,235.85,1629
2010-06-01,236.05,243.0,236.05,240.6,1935
2010-06-02,240.0,241.8,237.0,241.8,822
2010-06-03,242.1,244.0,240.0,242.55,4207
2010-06-04,245.0,247.85,241.1,245.1,791
2010-06-07,245.6,245.6,230.1,244.1,2152
2010-06-08,250.0,275.0,230.1,237.35,22160
2010-06-09,245.9,267.95,232.0,233.55,2180
2010-06-10,232.1,243.8,231.75,240.85,6514
2010-06-11,241.9,244.0,239.0,242.4,1498
2010-06-14,240.05,244.0,240.05,240.5,814
2010-06-15,242.4,256.0,240.0,250.7,3482
2010-06-16,255.0,259.95,251.05,252.0,6720
2010-06-17,252.0,264.5,252.0,257.35,4462
2010-06-18,258.7,258.7,245.3,248.2,4676
2010-06-21,270.5,281.0,248.25,260.0,5000
2010-06-22,255.3,264.5,255.3,262.7,4992
2010-06-23,260.05,262.7,256.1,257.0,3381
2010-06-24,260.0,263.95,254.05,261.0,9351
2010-06-25,260.0,262.0,259.0,260.95,15425
2010-06-28,260.0,266.0,259.6,265.55,8234
2010-06-29,263.0,278.0,260.0,272.2,4157
2010-06-30,269.0,326.65,268.5,326.65,1041184
2010-07-01,314.4,314.4,294.0,298.45,732420
2010-07-02,298.7,309.0,291.2,300.35,245657
2010-07-05,299.0,313.4,298.0,300.7,187229
2010-07-06,302.95,308.7,294.0,297.6,102384
2010-07-07,299.75,300.85,285.0,287.5,30751
2010-07-08,288.2,300.0,287.0,292.75,52706
2010-07-09,292.0,304.2,290.0,301.45,59751
2010-07-12,302.95,306.0,294.0,296.2,18997
2010-07-13,298.7,298.7,286.1,287.7,22416
2010-07-14,292.0,294.95,264.1,281.35,44160
2010-07-15,278.5,286.0,275.0,277.55,12099
2010-07-16,278.7,299.0,277.5,294.8,76455
2010-07-19,291.0,299.0,290.1,291.85,26344
2010-07-20,291.05,295.8,272.55,287.15,34162
2010-07-21,288.85,294.5,287.0,287.95,13170
2010-07-22,289.75,292.0,282.2,288.75,12015
2010-07-23,288.0,290.0,285.0,286.75,6325
2010-07-26,287.6,290.25,282.15,285.3,6903
2010-07-27,281.1,298.8,281.1,288.4,19648
2010-07-28,292.0,296.0,278.05,279.55,13791
2010-07-29,280.0,282.35,274.0,280.2,30861
2010-07-30,283.95,309.0,281.0,299.25,256736
2010-08-02,300.0,304.7,291.0,294.95,53733
2010-08-03,295.0,297.45,289.0,291.3,9771
2010-08-04,296.95,296.95,282.5,284.95,130695
2010-08-05,290.0,296.0,285.25,287.0,15332
2010-08-06,287.6,290.0,283.0,283.85,10214
2010-08-09,287.0,295.8,281.2,286.45,15194
2010-08-10,284.15,294.0,280.6,281.55,9591
2010-08-11,286.95,286.95,274.0,275.7,13135
2010-08-12,266.0,277.0,265.25,273.95,28706
2010-08-13,273.3,282.0,271.9,277.0,19106
2010-08-16,272.25,281.95,271.0,273.35,56568
2010-08-17,273.0,279.0,273.0,276.5,8289
2010-08-18,276.2,279.0,276.0,277.5,6986
2010-08-19,277.0,290.5,276.5,279.35,15026
2010-08-20,280.1,284.45,277.25,279.05,6039
2010-08-23,282.0,290.0,280.0,285.2,13622
2010-08-24,287.9,290.0,280.0,284.65,10247
2010-08-25,285.0,286.4,279.45,282.9,10668
2010-08-26,282.0,283.0,273.1,274.2,19601
2010-08-27,274.2,279.0,266.45,269.45,7685
2010-08-30,270.1,274.2,263.1,265.75,5823
2010-08-31,265.0,267.0,258.2,260.0,23596
2010-09-01,259.0,264.75,259.0,260.35,27368
2010-09-02,269.4,269.4,263.95,265.9,5600
2010-09-03,264.1,275.0,260.0,272.85,25652
2010-09-06,279.0,286.05,269.5,277.5,29855
2010-09-07,283.25,283.25,273.5,277.4,17999
2010-09-08,288.0,311.9,268.9,297.75,698336
2010-09-09,300.1,305.9,289.0,293.4,133318
2010-09-13,295.05,297.4,282.5,284.75,36251
2010-09-14,272.0,288.6,272.0,282.2,28883
2010-09-15,283.0,288.0,276.55,278.2,20445
2010-09-16,279.5,288.5,278.1,285.65,17895
