Date,Open,High,Low,Close,Volume
2010-01-04,374.0,382.0,362.65,372.75,70184
2010-01-05,376.4,396.6,376.0,383.3,249691
2010-01-06,386.65,386.7,370.0,371.8,232267
2010-01-07,374.0,382.0,356.0,360.0,111186
2010-01-08,362.9,373.9,362.9,369.65,228319
2010-01-11,374.5,383.6,370.35,375.65,75850
2010-01-12,377.0,377.05,370.3,374.25,83407
2010-01-13,370.0,374.8,366.0,369.35,15657
2010-01-14,373.8,380.0,371.2,378.65,154917
2010-01-15,384.8,387.0,371.05,372.6,32313
2010-01-18,374.75,375.1,370.0,372.6,12311
2010-01-19,363.2,384.0,363.2,377.45,56214
2010-01-20,365.1,378.9,365.1,372.9,9982
2010-01-21,367.0,377.0,359.0,361.85,19097
2010-01-22,358.1,361.9,341.5,358.65,64987
2010-01-25,355.0,362.45,334.0,337.45,34217
2010-01-27,337.95,345.0,316.1,324.7,318982
2010-01-28,328.6,345.0,315.0,341.3,46637
2010-01-29,327.6,350.5,327.6,345.05,22425
2010-02-01,347.0,352.65,340.0,347.15,13709
2010-02-02,351.9,361.0,342.05,347.9,20751
2010-02-03,350.0,355.0,343.95,351.25,29132
2010-02-04,357.9,357.9,340.0,341.35,36912
2010-02-05,325.0,338.0,320.0,329.45,12743
2010-02-06,339.95,339.95,329.0,333.75,2477
2010-02-08,334.1,338.95,322.0,327.35,15188
2010-02-09,327.7,355.0,327.7,346.95,43736
2010-02-10,355.0,361.3,343.0,350.8,543900
2010-02-11,355.0,355.0,340.0,341.8,74049
2010-02-15,347.0,347.0,328.0,331.7,76208
2010-02-16,337.0,342.7,332.0,333.3,45923
2010-02-17,338.0,339.9,331.0,333.65,29092
2010-02-18,337.95,343.3,333.0,335.9,31460
2010-02-19,336.0,337.6,326.55,332.85,18109
2010-02-22,338.9,339.45,322.25,326.65,17192
2010-02-23,327.0,328.0,319.5,324.35,39984
2010-02-24,321.0,338.0,318.0,334.45,72402
2010-02-25,336.0,336.0,325.0,328.15,17992
2010-02-26,329.95,338.0,323.5,332.6,22065
2010-03-02,340.9,348.0,333.15,345.2,118873
2010-03-03,348.8,349.0,340.0,341.4,11953
2010-03-04,347.95,349.0,341.1,346.4,27019
2010-03-05,350.0,355.9,343.0,352.6,30799
2010-03-08,364.0,364.0,345.1,348.9,22487
2010-03-09,348.0,350.0,342.2,344.9,13541
2010-03-10,347.5,355.9,344.4,351.0,57513
2010-03-11,357.0,375.0,346.2,368.35,268211
2010-03-12,373.0,376.95,364.8,370.05,117490
2010-03-15,365.05,370.95,361.5,364.8,42821
2010-03-16,362.85,370.4,361.55,368.8,19046
2010-03-17,370.0,375.9,365.4,367.2,280279
2010-03-18,364.0,371.0,355.55,359.5,20335
2010-03-19,364.0,365.0,357.75,362.05,16364
2010-03-22,358.0,365.0,355.35,362.55,9267
2010-03-23,363.0,365.0,358.05,361.3,17620
2010-03-25,358.0,368.95,358.0,364.15,21357
2010-03-26,368.0,387.5,365.0,382.75,71822
2010-03-29,385.05,391.95,377.05,388.75,125961
2010-03-30,390.0,398.0,385.3,389.65,54484
2010-03-31,386.05,405.95,384.3,400.95,599454
2010-04-01,408.0,416.8,401.0,407.65,174100
2010-04-05,410.0,415.0,400.95,403.85,103159
2010-04-06,407.0,422.4,398.0,402.45,111216
2010-04-07,408.8,412.0,402.45,407.9,183990
2010-04-08,405.0,409.0,390.15,396.4,57900
2010-04-09,407.25,407.25,390.0,400.45,73287
2010-04-12,392.55,409.85,389.25,392.6,44499
2010-04-13,389.0,410.0,389.0,409.0,84256
2010-04-15,409.8,421.1,405.6,410.0,215911
2010-04-16,410.0,414.0,401.0,404.0,35205
2010-04-19,390.25,400.0,390.25,392.95,32185
2010-04-20,398.0,403.95,395.0,396.1,15912
2010-04-21,398.0,409.0,397.0,402.9,43212
2010-04-22,406.7,406.7,397.05,399.55,9745
2010-04-23,404.5,407.0,397.6,403.4,26900
2010-04-26,402.0,414.9,399.0,404.7,25775
2010-04-27,407.0,413.8,400.0,409.2,22598
2010-04-28,401.55,407.9,397.8,402.8,43962
2010-04-29,404.0,406.0,392.3,399.85,88013
2010-04-30,405.7,413.8,393.0,394.85,8203
2010-05-03,394.85,408.0,394.85,403.25,241968
2010-05-04,406.9,411.5,400.0,406.15,62852
2010-05-05,402.0,402.0,386.1,398.45,11540
2010-05-06,392.1,409.0,392.1,401.6,20803
2010-05-07,389.0,404.9,389.0,399.95,9091
2010-05-10,402.0,406.0,397.45,400.25,12803
2010-05-11,408.9,408.9,399.45,404.35,105022
2010-05-12,405.0,409.9,405.0,407.3,20104
2010-05-13,409.5,427.0,403.0,418.85,42514
2010-05-14,427.7,427.7,402.05,408.2,83907
2010-05-17,404.3,409.0,395.5,404.4,5710
2010-05-18,403.0,407.9,402.1,403.6,2421
2010-05-19,400.0,411.95,398.25,407.5,231888
2010-05-20,415.0,419.0,401.0,404.95,7451
2010-05-21,402.0,402.0,395.0,399.85,34216
2010-05-24,399.85,410.65,396.5,404.85,5696
2010-05-25,408.0,408.0,374.05,380.35,10104
2010-05-26,382.55,395.9,382.55,394.9,25330
2010-05-27,391.0,402.9,391.0,400.15,2362
2010-05-28,410.0,414.9,400.0,412.5,16027
2010-05-31,418.85,418.85,395.0,403.6,238881
2010-06-01,400.0,418.95,387.2,405.05,243373
2010-06-02,401.0,429.9,398.05,411.75,40631
2010-06-03,412.0,412.0,401.1,403.85,9368
2010-06-04,400.05,411.8,396.5,401.5,178772
2010-06-07,397.0,401.5,392.0,394.65,16162
2010-06-08,396.0,402.0,390.55,393.6,7537
2010-06-09,394.2,404.9,380.55,398.5,45013
2010-06-10,399.0,409.0,389.15,398.4,71577
2010-06-11,407.1,409.45,398.25,404.35,41376
2010-06-14,404.5,409.0,400.0,400.6,18977
2010-06-15,408.25,408.25,396.35,399.0,8178
2010-06-16,399.25,403.75,390.0,394.05,75314
2010-06-17,398.0,402.0,395.0,397.55,5400
2010-06-18,400.0,400.85,394.1,395.35,3544
2010-06-21,401.0,401.0,391.2,396.45,21968
2010-06-22,400.0,403.9,396.0,401.1,63056
2010-06-23,404.5,414.9,398.0,400.05,69367
2010-06-24,404.0,404.0,388.0,392.4,16050
2010-06-25,393.0,397.1,385.0,385.85,16028
2010-06-28,390.0,393.5,385.75,387.7,11464
2010-06-29,389.9,389.9,381.1,383.35,4776
2010-06-30,380.0,384.95,379.7,382.8,27450
2010-07-01,382.8,389.9,377.5,378.9,36406
2010-07-02,385.95,385.95,365.1,368.25,27114
2010-07-05,365.0,370.75,363.0,365.3,57756
2010-07-06,362.1,369.8,362.1,365.1,26370
2010-07-07,361.0,369.0,361.0,362.8,44290
2010-07-08,369.9,373.0,365.05,369.3,151090
2010-07-09,375.0,376.0,370.1,371.45,16146
2010-07-12,375.9,379.7,371.05,373.05,28105
2010-07-13,375.0,385.5,370.05,378.6,333309
2010-07-14,379.0,384.0,378.0,380.05,86695
2010-07-15,381.4,381.5,373.1,377.15,5865
2010-07-16,377.8,380.0,372.1,373.7,5373
2010-07-19,373.7,378.0,368.85,374.45,31023
2010-07-20,376.85,376.85,367.1,368.75,7543
2010-07-21,373.9,373.9,363.55,368.8,8278
2010-07-22,365.5,376.0,365.2,368.1,6735
2010-07-23,373.85,373.85,361.4,362.55,8618
2010-07-26,363.0,367.9,362.1,363.35,5893
2010-07-27,361.1,364.5,358.0,359.1,6502
2010-07-28,360.5,363.8,355.55,359.65,19506
2010-07-29,356.0,360.95,347.7,356.1,11330
2010-07-30,356.0,362.9,355.0,358.25,6280
2010-08-02,360.45,365.95,360.15,361.3,7335
2010-08-03,364.75,365.0,361.2,362.75,4068
2010-08-04,364.2,364.95,359.0,361.95,3065
2010-08-05,358.2,363.0,357.15,358.0,54194
2010-08-06,354.0,361.45,351.1,352.55,206867
2010-08-09,350.1,360.0,350.1,356.0,7553
2010-08-10,359.4,367.0,359.4,362.85,13854
2010-08-11,356.1,371.7,356.1,361.25,140834
2010-08-12,358.0,368.0,351.3,353.0,18200
2010-08-13,353.05,362.95,344.0,348.9,177143
2010-08-16,350.0,350.0,322.65,340.75,60584
2010-08-17,342.0,345.0,340.0,344.8,24993
2010-08-18,342.2,351.95,337.05,344.7,13363
2010-08-19,340.25,349.9,340.25,346.9,24489
2010-08-20,345.0,368.95,345.0,359.6,86993
2010-08-23,361.9,371.6,361.9,366.65,32300
2010-08-24,369.95,371.5,361.1,368.7,28278
2010-08-25,370.0,370.95,365.0,368.1,9267
2010-08-26,365.0,368.0,351.2,355.85,15155
2010-08-27,352.7,369.95,352.1,357.1,238126
2010-08-30,363.0,363.0,353.0,360.2,11993
2010-08-31,360.0,365.0,355.0,362.9,31830
2010-09-01,365.0,369.0,360.0,367.65,12034
2010-09-02,373.7,386.95,364.15,383.45,28173
2010-09-03,385.0,402.85,377.35,395.95,52071
2010-09-06,400.0,409.0,398.0,399.8,26748
2010-09-07,398.0,414.4,396.0,412.1,49548
2010-09-08,410.0,418.0,402.0,409.8,26097
2010-09-09,411.0,413.25,405.5,408.1,19383
2010-09-13,411.0,414.0,407.0,409.6,11835
2010-09-14,405.05,413.45,405.05,408.2,205060
2010-09-15,407.5,415.0,405.1,407.85,15881
2010-09-16,404.0,410.0,395.0,399.4,15954
2010-09-17,395.0,406.0,391.65,399.85,416993
2010-09-20,400.0,418.0,400.0,413.75,194482
2010-09-21,414.8,414.8,402.25,404.95,47126
2010-09-22,403.4,411.95,393.0,403.45,101631
2010-09-23,400.0,409.0,390.0,390.8,11921
2010-09-24,395.8,405.0,393.0,403.15,14654
2010-09-27,410.0,410.0,390.35,396.35,15653
2010-09-28,400.25,404.5,397.3,399.95,67726
2010-09-29,400.0,403.75,398.6,400.2,22487
2010-09-30,398.6,402.0,398.6,400.0,131958
2010-10-01,401.5,411.5,396.0,409.1,15706
2010-10-04,413.0,415.95,405.05,408.15,171897
2010-10-05,411.9,416.0,406.4,411.75,39223
2010-10-06,420.0,420.0,410.1,414.1,10785
2010-10-07,419.8,419.8,409.1,414.35,38154
2010-10-08,419.65,419.65,396.0,398.35,14147
2010-10-11,400.05,415.0,400.0,413.15,29231
2010-10-12,413.0,416.75,411.0,415.85,9337
2010-10-13,413.5,415.95,406.0,413.4,62276
2010-10-14,418.0,419.5,405.0,410.7,135505
2010-10-15,419.0,419.0,403.0,405.3,1541
2010-10-18,400.0,413.9,400.0,410.65,6727
2010-10-19,419.0,419.8,402.05,409.65,10608
2010-10-20,408.15,409.45,402.0,403.35,2601
2010-10-21,404.5,409.0,403.2,406.05,1604
2010-10-22,411.95,411.95,406.0,410.25,7673
2010-10-25,414.0,414.0,406.05,410.5,14877
2010-10-26,406.0,418.0,406.0,415.4,11246
2010-10-27,412.1,416.5,411.0,415.1,53308
2010-10-28,423.4,423.4,411.3,415.7,8918
2010-10-29,412.0,419.0,410.05,415.95,123084
2010-11-01,415.05,419.6,411.0,415.35,4733
2010-11-02,413.95,488.0,409.5,438.7,129884
2010-11-03,444.2,452.0,435.0,440.15,53560
2010-11-04,430.55,449.9,430.55,446.8,18218
2010-11-05,459.0,459.0,433.2,439.3,1224
2010-11-08,440.0,445.0,440.0,443.5,2287
2010-11-09,437.0,444.5,437.0,442.1,147616
2010-11-10,430.55,447.95,430.55,439.2,3003
2010-11-11,438.0,460.9,434.05,456.4,21849
2010-11-12,455.0,470.0,428.05,443.1,22205
2010-11-15,455.0,455.0,425.25,428.85,58063
2010-11-16,441.25,442.0,425.25,439.85,50809
2010-11-18,441.95,441.95,427.1,430.45,11266
2010-11-19,430.45,436.5,429.5,434.3,6526
2010-11-22,436.0,453.95,436.0,450.1,31297
2010-11-23,445.0,465.0,441.0,443.9,62888
2010-11-24,440.0,445.0,431.1,434.0,2859
2010-11-25,439.0,439.0,417.0,423.35,2274
2010-11-26,424.0,424.2,406.0,413.4,2459
2010-11-29,402.0,420.0,401.8,412.55,125777
2010-11-30,417.45,421.0,409.0,416.8,2396
2010-12-01,418.0,440.0,418.0,427.45,6123
2010-12-02,427.0,440.0,412.15,429.3,37425
2010-12-03,430.0,437.0,420.0,424.8,17859
2010-12-06,422.0,438.0,410.3,413.9,30758
2010-12-07,411.0,423.85,404.0,407.45,7284
2010-12-08,410.0,416.9,402.4,407.65,2925
2010-12-09,414.75,419.6,408.1,414.1,85506
2010-12-10,426.0,441.0,387.25,433.05,25277
2010-12-13,439.5,450.0,425.5,445.05,83991
2010-12-14,448.0,454.85,435.05,440.7,95126
2010-12-15,438.5,444.9,430.0,435.5,21888
2010-12-16,435.0,443.0,423.0,424.75,103306
2010-12-20,423.0,435.95,413.15,423.8,105505
2010-12-21,426.0,432.0,365.05,415.5,118029
2010-12-22,416.0,424.0,409.0,414.55,12873
2010-12-23,429.9,429.9,406.0,409.7,5580
2010-12-24,406.0,415.0,404.25,407.3,30210
2010-12-27,408.05,414.95,403.15,405.95,30942
2010-12-28,410.0,410.0,394.0,396.35,8203
2010-12-29,404.95,407.8,392.0,400.65,3577
2010-12-30,401.1,406.5,397.0,400.0,45390
2010-12-31,401.1,410.0,399.0,406.05,3594
2011-01-03,408.0,427.0,398.1,422.15,10586
2011-01-04,428.0,430.9,408.0,411.0,6558
2011-01-05,415.0,423.0,407.2,416.65,82294
2011-01-06,412.6,421.0,412.0,419.85,3544
2011-01-07,415.1,429.8,396.0,402.8,3793
2011-01-10,406.0,411.0,395.0,404.55,3463
2011-01-11,401.0,405.0,385.0,391.4,8035
2011-01-12,364.1,410.0,364.1,408.35,5657
2011-01-13,411.0,411.0,392.0,393.1,7048
2011-01-14,399.9,407.5,391.4,395.15,4174
2011-01-17,392.0,395.0,383.2,387.9,3960
2011-01-18,394.8,400.0,385.2,393.6,4459
2011-01-19,388.15,397.35,380.1,382.7,4714
2011-01-20,354.0,412.0,354.0,402.6,10478
2011-01-21,395.0,400.55,388.0,390.8,2238
2011-01-24,394.5,399.0,391.5,395.4,1724
2011-01-25,396.0,397.95,389.0,391.55,3159
2011-01-27,391.2,400.0,384.0,387.45,1025
2011-01-28,391.95,397.9,375.5,393.4,9938
2011-01-31,385.0,401.95,380.0,391.3,7766
2011-02-01,392.2,399.85,378.1,385.65,6295
2011-02-02,385.55,385.6,360.0,365.65,12612
2011-02-03,370.0,373.9,360.1,367.85,20222
2011-02-04,361.0,368.0,360.0,360.4,2394
2011-02-07,369.25,369.5,360.0,365.75,76698
2011-02-08,368.95,369.9,361.0,364.7,1753
2011-02-09,354.05,365.9,338.05,354.65,65379
2011-02-10,342.35,355.0,342.35,350.75,238834
2011-02-11,350.0,350.0,325.0,334.75,22053
2011-02-14,346.45,346.5,337.0,339.9,58002
2011-02-15,334.9,344.7,328.0,336.35,11798
2011-02-16,338.95,340.0,324.1,329.2,29195
2011-02-17,330.95,332.8,329.05,329.9,16976
2011-02-18,335.0,336.9,325.0,325.4,17888
2011-02-21,327.2,329.5,325.4,326.35,25003
2011-02-22,325.0,327.95,323.05,325.0,51112
2011-02-23,321.5,328.95,315.15,319.75,7602
2011-02-24,325.0,344.0,315.0,328.15,11950
2011-02-25,330.0,340.0,320.25,325.1,14608
2011-02-28,335.0,337.0,316.0,321.0,6833
2011-03-01,318.05,330.0,318.05,327.05,3447
2011-03-03,324.0,334.95,322.0,327.0,13890
2011-03-04,325.0,338.9,321.05,322.75,63398
2011-03-07,320.0,323.4,317.0,320.85,12793
2011-03-08,319.05,323.4,319.05,319.8,19682
2011-03-09,320.0,324.55,315.2,318.15,11230
2011-03-10,307.55,320.0,302.05,310.1,279382
2011-03-11,317.5,317.5,308.55,309.95,3137
2011-03-14,308.05,321.5,305.0,315.85,120121
2011-03-15,303.5,327.95,303.5,323.65,10937
2011-03-16,320.0,326.5,320.0,325.5,18598
2011-03-17,315.0,328.0,315.0,327.05,7061
2011-03-18,332.0,341.0,325.05,337.55,16666
2011-03-21,336.0,344.4,331.05,338.4,5024
2011-03-22,336.0,343.0,332.05,342.05,52636
2011-03-23,336.0,365.0,336.0,347.05,6242
2011-03-24,358.0,358.0,337.1,346.7,7025
2011-03-25,351.95,351.95,341.15,342.95,2040
2011-03-28,339.0,350.0,335.0,345.05,4141
2011-03-29,338.0,350.0,338.0,347.0,4033
