Date,Open,High,Low,Close,Volume
2010-01-04,125.95,128.9,125.55,128.45,827930
2010-01-05,129.5,134.15,129.1,132.4,1247148
2010-01-06,134.5,136.65,133.3,134.2,1372419
2010-01-07,135.0,135.7,131.2,133.1,1956135
2010-01-08,133.95,134.85,131.0,131.45,1245101
2010-01-11,132.1,133.95,131.6,132.8,1095072
2010-01-12,132.0,134.55,131.3,132.4,900395
2010-01-13,130.5,133.55,130.1,133.05,916750
2010-01-14,133.5,135.5,132.4,133.2,621939
2010-01-15,133.5,135.0,132.1,133.95,406911
2010-01-18,133.0,142.5,133.0,140.35,1650963
2010-01-19,141.5,144.9,140.1,140.8,2345324
2010-01-20,142.0,143.55,138.5,139.9,631630
2010-01-21,140.4,141.3,136.0,136.55,581849
2010-01-22,135.0,139.0,130.3,134.85,1508843
2010-01-25,133.0,137.4,132.0,135.3,981715
2010-01-27,135.0,137.0,132.4,134.85,1952193
2010-01-28,137.0,137.5,134.1,135.6,1092969
2010-01-29,132.15,143.0,131.25,141.35,1568146
2010-02-01,141.0,143.4,140.0,141.55,764020
2010-02-02,142.0,143.55,137.2,138.1,542623
2010-02-03,139.0,140.7,137.5,139.0,318911
2010-02-04,139.0,139.05,134.6,135.25,245345
2010-02-05,134.4,134.4,129.1,131.6,419846
2010-02-06,132.0,133.9,131.0,132.85,53889
2010-02-08,130.0,136.45,130.0,134.05,628002
2010-02-09,133.0,136.3,133.0,135.15,301339
2010-02-10,135.8,136.5,130.15,131.7,227908
2010-02-11,133.9,135.0,132.55,133.8,323406
2010-02-15,132.25,135.5,129.65,130.2,364205
2010-02-16,131.0,136.6,129.25,134.1,429267
2010-02-17,135.95,136.4,132.75,133.9,418846
2010-02-18,135.0,136.0,132.5,133.65,868584
2010-02-19,132.3,133.6,131.65,132.4,186500
2010-02-22,134.0,134.0,131.25,132.25,547287
2010-02-23,131.25,132.75,130.15,130.6,284679
2010-02-24,130.4,130.85,127.3,128.05,1275950
2010-02-25,128.0,129.8,126.6,127.95,341911
2010-02-26,128.5,133.5,127.1,132.55,502345
2010-03-02,134.9,136.35,133.5,135.45,393483
2010-03-03,136.5,139.4,135.9,138.2,863184
2010-03-04,139.75,141.2,137.5,140.4,722634
2010-03-05,142.0,143.0,137.65,139.1,800165
2010-03-08,141.4,147.35,140.0,146.45,2035131
2010-03-09,146.9,147.8,142.5,142.95,1504757
2010-03-10,143.15,145.45,140.25,141.1,734704
2010-03-11,142.95,143.95,140.75,142.35,456253
2010-03-12,144.0,147.4,143.3,145.7,1923716
2010-03-15,145.4,146.7,143.5,143.95,1095985
2010-03-16,144.4,145.0,142.6,144.4,423415
2010-03-17,145.5,146.9,144.15,144.8,461871
2010-03-18,144.8,145.7,143.4,143.75,244099
2010-03-19,144.3,144.5,142.7,143.0,317417
2010-03-22,139.9,143.0,139.1,141.15,509598
2010-03-23,142.45,142.45,138.7,140.4,372563
2010-03-25,140.0,145.0,138.7,142.7,699392
2010-03-26,143.5,144.9,141.8,143.45,449938
2010-03-29,143.3,148.85,143.3,146.65,1234806
2010-03-30,147.1,148.3,143.0,144.5,329619
2010-03-31,143.1,146.0,142.2,142.85,415584
2010-04-01,143.3,144.5,142.45,143.25,703204
2010-04-05,144.0,154.0,143.5,152.85,1933695
2010-04-06,154.0,164.2,154.0,161.35,5635454
2010-04-07,162.1,169.95,162.1,167.7,5009394
2010-04-08,167.95,169.6,162.55,163.4,1909507
2010-04-09,161.4,167.9,160.1,164.6,1726785
2010-04-12,165.8,166.85,158.25,158.8,1087209
2010-04-13,158.8,160.0,154.6,156.2,1651400
2010-04-15,157.8,158.75,153.1,153.7,973600
2010-04-16,153.7,154.8,151.5,152.75,1178601
2010-04-19,149.5,160.65,149.5,159.35,1773203
2010-04-20,160.9,167.8,160.9,163.45,2639254
2010-04-21,163.7,165.0,163.6,164.15,892566
2010-04-22,160.75,167.45,160.75,163.9,1223871
2010-04-23,165.5,167.0,162.7,165.7,1049164
2010-04-26,167.25,171.5,165.8,168.35,1325433
2010-04-27,168.0,171.0,164.25,165.55,1323150
2010-04-28,164.0,168.5,163.0,166.0,1084079
2010-04-29,167.5,174.8,166.0,171.7,1676027
2010-04-30,171.7,177.1,163.85,164.6,6460001
2010-05-03,163.75,164.4,158.0,159.55,2419445
2010-05-04,162.0,162.4,152.1,153.75,2196525
2010-05-05,151.9,158.1,148.15,157.2,2354261
2010-05-06,157.0,160.8,156.05,158.7,1774033
2010-05-07,155.0,159.9,152.8,156.0,1160985
2010-05-10,158.1,162.5,158.1,160.2,1306006
2010-05-11,161.6,161.6,157.75,158.65,631578
2010-05-12,159.6,165.9,158.1,164.3,1769317
2010-05-13,162.85,162.9,155.55,158.65,2402656
2010-05-14,157.0,160.5,156.1,157.6,1000864
2010-05-17,155.0,160.4,152.1,159.45,895474
2010-05-18,159.8,160.8,155.8,156.65,1217648
