Date,Open,High,Low,Close,Volume
2010-01-04,22.95,23.9,22.95,23.75,7966018
2010-01-05,23.85,24.1,23.35,23.55,5261915
2010-01-06,23.9,23.9,23.1,23.35,3533675
2010-01-07,23.15,25.15,23.15,24.95,21234392
2010-01-08,25.2,25.5,24.45,24.6,12647806
2010-01-11,24.75,25.35,24.5,24.95,7941670
2010-01-12,25.2,25.2,24.05,24.2,7321967
2010-01-13,24.05,24.6,23.65,24.4,4076949
2010-01-14,24.45,25.4,24.4,24.85,5145543
2010-01-15,25.0,25.15,24.5,24.65,4425138
2010-01-18,24.65,24.9,24.3,24.5,3265011
2010-01-19,24.75,26.3,24.5,25.4,18348512
2010-01-20,25.55,26.0,25.05,25.5,8332606
2010-01-21,25.4,27.0,25.05,26.6,26188880
2010-01-22,26.15,27.89,24.8,27.69,27175396
2010-01-25,27.4,27.94,26.55,27.35,12031189
2010-01-27,27.05,27.35,24.5,24.95,9870207
2010-01-28,24.75,26.2,24.75,25.75,9216441
2010-01-29,25.9,26.45,24.85,26.3,6792495
2010-02-01,25.95,27.15,25.85,26.3,6922157
2010-02-02,26.7,27.1,24.95,25.2,4773356
2010-02-03,25.35,25.7,24.6,25.15,5215566
2010-02-04,25.45,25.55,24.25,24.4,3695368
2010-02-05,23.5,23.95,23.15,23.75,4525954
2010-02-06,24.15,24.75,24.05,24.6,1041346
2010-02-08,24.9,25.8,23.95,25.5,7739026
2010-02-09,25.05,25.85,25.05,25.25,2252724
2010-02-10,25.55,25.7,24.75,24.9,2721573
2010-02-11,25.2,26.4,25.15,26.15,7356399
2010-02-15,26.5,26.8,26.1,26.4,6627063
2010-02-16,26.95,26.95,25.65,26.45,4019819
2010-02-17,26.95,26.95,25.85,26.0,3758694
2010-02-18,26.4,26.4,25.1,25.25,4380139
2010-02-19,25.05,25.3,24.0,24.15,6482471
2010-02-22,24.65,25.0,23.2,23.3,6461441
2010-02-23,23.3,23.7,22.9,23.35,3984705
2010-02-24,23.55,23.85,23.05,23.7,2421436
2010-02-25,23.85,24.1,23.7,23.8,1824279
2010-02-26,23.95,24.6,23.3,23.45,5126486
2010-03-02,23.45,23.75,23.2,23.5,2622004
2010-03-03,23.85,24.15,23.65,23.75,2308179
2010-03-04,23.85,24.15,23.75,23.9,1747002
2010-03-05,24.1,24.45,24.0,24.25,2073864
2010-03-08,24.95,24.95,23.95,24.05,1540617
2010-03-09,24.05,24.35,23.45,23.6,2357683
2010-03-10,23.7,23.9,22.95,23.15,3488396
2010-03-11,23.9,23.9,23.2,23.45,1847616
2010-03-12,23.4,23.75,23.1,23.15,1576093
2010-03-15,22.75,23.3,22.65,22.75,1465358
2010-03-16,23.0,23.6,22.95,23.5,1897635
2010-03-17,23.65,23.9,23.0,23.15,2451765
2010-03-18,23.95,24.7,22.65,22.8,11063492
2010-03-19,23.05,23.85,22.16,22.36,13229267
2010-03-22,21.96,23.55,21.96,23.2,17397498
2010-03-23,23.35,23.7,23.2,23.3,9724561
2010-03-25,23.45,23.65,22.65,22.7,2784387
2010-03-26,22.75,23.1,22.26,22.36,3136300
2010-03-29,22.46,22.65,22.06,22.21,2329533
2010-03-30,22.31,22.6,22.11,22.26,2259604
2010-03-31,22.46,22.56,22.06,22.16,2008861
2010-04-01,22.36,22.85,22.26,22.7,2023887
2010-04-05,22.95,23.1,22.6,22.85,3799774
2010-04-06,23.1,23.2,22.8,22.9,3094332
2010-04-07,22.85,23.15,22.41,22.51,5060155
2010-04-08,22.6,22.8,21.86,21.96,6321929
2010-04-09,22.21,22.36,21.66,21.76,6516765
2010-04-12,21.96,22.36,21.76,22.01,3575682
2010-04-13,22.06,22.06,21.51,21.66,2779760
2010-04-15,21.91,22.06,20.86,20.96,6047216
2010-04-16,20.56,21.16,20.56,20.76,2364837
2010-04-19,20.46,20.66,20.26,20.41,2156179
2010-04-20,20.61,20.86,20.36,20.46,2859461
2010-04-21,21.21,21.21,20.21,20.31,8512360
2010-04-22,20.31,20.71,19.96,20.06,5801653
2010-04-23,20.31,20.61,20.16,20.41,5175014
2010-04-26,20.46,20.96,20.46,20.81,2548984
2010-04-27,20.86,21.21,20.76,20.86,2829519
2010-04-28,20.51,20.91,20.26,20.36,3213616
2010-04-29,20.61,20.71,20.41,20.51,1464542
2010-04-30,20.76,21.06,20.61,20.91,3024922
2010-05-03,21.06,21.56,20.86,20.96,6487385
2010-05-04,21.16,21.26,20.36,20.46,2786651
2010-05-05,20.06,20.51,20.01,20.41,2230299
2010-05-06,20.91,20.91,20.16,20.36,1834414
2010-05-07,20.01,20.11,19.36,19.51,3105770
2010-05-10,19.96,20.31,19.66,20.21,2115316
2010-05-11,20.21,20.26,19.96,20.01,1522055
2010-05-12,20.01,20.16,19.56,19.66,1714392
2010-05-13,19.51,20.21,19.51,19.86,1922123
2010-05-14,20.11,20.76,19.76,20.06,11025242
2010-05-17,19.81,19.96,19.46,19.81,1587305
2010-05-18,19.81,20.11,19.61,19.91,1665465
2010-05-19,19.76,19.76,18.91,19.01,1790214
2010-05-20,19.11,19.41,18.56,18.61,1831347
2010-05-21,18.16,18.41,17.81,17.91,3073354
2010-05-24,18.96,18.96,18.16,18.31,1653302
2010-05-25,18.26,18.26,17.76,17.76,1110187
2010-05-26,18.11,18.26,17.86,18.11,1376419
2010-05-27,18.11,18.31,17.91,18.16,1707965
2010-05-28,18.36,18.76,18.31,18.71,1443442
2010-05-31,18.91,19.96,18.71,19.31,2031780
2010-06-01,19.31,19.46,18.71,18.96,1496271
2010-06-02,19.01,19.16,18.91,19.06,773083
2010-06-03,19.16,19.36,18.96,19.06,698821
2010-06-04,19.06,19.16,18.46,18.56,1767833
2010-06-07,17.96,18.46,17.96,18.31,1169486
2010-06-08,18.31,18.51,17.76,17.81,1330645
2010-06-09,17.81,18.26,17.81,17.96,985894
2010-06-10,18.16,18.21,17.76,17.96,2094711
2010-06-11,18.16,18.21,17.91,18.06,1241716
2010-06-14,18.06,19.96,18.06,19.41,7381295
2010-06-15,18.96,19.81,18.96,19.66,2802036
2010-06-16,19.21,19.81,19.16,19.21,1196737
2010-06-17,19.51,19.51,19.06,19.26,870474
2010-06-18,18.96,19.41,18.96,19.06,1184297
2010-06-21,19.06,19.51,19.06,19.41,1189645
2010-06-22,19.26,20.76,19.26,20.36,9327649
2010-06-23,20.61,21.16,20.31,20.91,9706288
2010-06-24,21.91,21.91,20.06,20.21,6048360
2010-06-25,20.21,20.41,19.61,19.76,4506030
2010-06-28,19.86,20.91,19.86,20.81,5209952
2010-06-29,20.86,21.76,20.46,20.56,5930358
2010-06-30,20.56,20.56,19.91,20.06,3344341
2010-07-01,19.76,20.46,19.76,20.36,2078870
2010-07-02,20.51,20.61,20.21,20.26,1741484
2010-07-05,20.31,20.36,20.01,20.16,925453
2010-07-06,20.26,20.36,20.11,20.16,1237923
2010-07-07,20.31,20.36,19.96,20.01,1776623
2010-07-08,20.06,20.31,19.96,20.06,1424142
2010-07-09,20.21,20.26,20.06,20.11,1045469
2010-07-12,20.26,20.36,20.06,20.26,1174311
2010-07-13,20.26,20.46,20.11,20.16,1601900
2010-07-14,20.46,20.81,20.26,20.36,4800976
2010-07-15,20.51,20.86,20.26,20.76,3721967
2010-07-16,20.71,20.96,20.51,20.61,3752468
2010-07-19,20.46,20.81,20.41,20.56,8599224
2010-07-20,20.51,20.76,20.16,20.26,2226386
2010-07-21,20.36,20.56,20.26,20.31,1537402
2010-07-22,20.41,20.46,20.16,20.31,1475132
2010-07-23,20.36,20.51,20.06,20.16,1502863
2010-07-26,20.11,20.31,19.96,20.01,1457907
2010-07-27,20.46,20.66,20.11,20.26,1398113
2010-07-28,20.36,20.41,20.16,20.31,1219372
2010-07-29,20.11,20.61,20.06,20.41,2014612
2010-07-30,20.41,20.86,20.11,20.46,7936163
2010-08-02,20.51,20.66,20.26,20.46,3426955
2010-08-03,20.76,20.96,20.56,20.71,6084335
2010-08-04,20.86,21.11,20.31,20.96,8486842
2010-08-05,21.21,21.36,20.76,20.86,4273503
2010-08-06,20.96,21.01,19.46,20.01,6724977
2010-08-09,20.11,20.36,20.06,20.21,3758180
2010-08-10,20.26,20.61,19.86,19.91,6161160
2010-08-11,20.06,20.56,20.01,20.11,6360239
2010-08-12,20.11,20.16,19.86,19.91,2894796
2010-08-13,19.96,20.86,19.96,20.26,7249983
2010-08-16,20.41,20.61,20.06,20.11,3068986
2010-08-17,20.26,20.56,20.21,20.36,3889171
2010-08-18,20.46,20.66,20.26,20.36,2402045
2010-08-19,20.36,20.46,20.11,20.21,2388747
2010-08-20,20.21,20.46,20.06,20.16,2478029
2010-08-23,20.21,20.56,20.16,20.46,3405096
2010-08-24,20.56,20.66,20.06,20.16,1892139
2010-08-25,20.16,20.21,19.76,19.81,1538598
2010-08-26,19.91,20.36,19.61,19.81,3499378
2010-08-27,19.81,19.96,19.41,19.51,1975342
2010-08-30,19.71,19.91,19.26,19.36,1776741
2010-08-31,19.26,19.36,18.56,18.86,2703248
2010-09-01,19.06,19.21,18.86,19.01,1569060
2010-09-02,19.21,19.36,19.06,19.26,1694065
2010-09-03,19.46,20.61,19.31,20.31,8853424
2010-09-06,20.36,20.66,20.21,20.51,6550247
2010-09-07,20.51,20.66,20.31,20.46,2450679
2010-09-08,20.46,20.46,20.06,20.11,1941380
2010-09-09,20.36,20.36,20.11,20.26,1179609
2010-09-13,20.51,20.56,20.06,20.31,2039324
2010-09-14,20.41,20.86,20.16,20.76,4862352
2010-09-15,20.86,22.31,20.76,22.01,14566764
2010-09-16,22.21,22.65,21.81,22.06,13712221
2010-09-17,22.26,22.31,21.36,21.46,7347184
