Date,Open,High,Low,Close,Volume
2010-01-04,82.45,84.0,82.03,82.33,193384
2010-01-05,82.62,85.9,82.62,83.22,935448
2010-01-06,83.97,87.65,83.5,85.28,1184178
2010-01-07,85.97,89.0,84.55,85.75,939216
2010-01-08,86.2,87.6,85.05,85.3,241370
2010-01-11,85.67,86.67,85.08,85.92,250084
2010-01-12,86.2,87.12,82.3,83.5,574656
2010-01-13,83.5,85.7,82.03,84.4,285166
2010-01-14,85.03,89.95,85.03,87.38,1530972
2010-01-15,87.6,88.35,86.25,87.45,419034
2010-01-18,86.5,88.75,84.25,86.72,278136
2010-01-19,87.45,89.78,86.03,87.03,727408
2010-01-20,87.75,88.97,86.9,87.42,427144
2010-01-21,87.75,88.22,83.28,84.58,1023902
2010-01-22,82.5,82.5,79.0,81.0,814144
2010-01-25,80.5,82.2,77.03,79.72,709822
2010-01-27,78.5,80.0,72.05,73.9,827598
2010-01-28,74.25,77.4,73.75,76.88,788342
2010-01-29,76.72,79.2,73.9,78.28,294230
2010-02-01,79.47,79.95,77.1,78.75,348010
2010-02-02,79.55,80.95,77.0,77.25,141038
2010-02-03,77.75,81.95,77.75,79.47,259896
2010-02-04,80.5,80.5,78.0,78.25,107828
2010-02-05,75.05,77.0,73.33,75.58,189866
2010-02-06,76.5,76.97,76.0,76.38,19012
2010-02-08,78.5,78.5,75.0,75.42,139046
2010-02-09,75.53,77.5,75.53,77.08,320256
2010-02-10,77.85,78.0,76.0,76.1,61630
2010-02-11,76.97,77.4,75.53,76.12,66536
2010-02-15,77.38,77.62,75.53,75.75,297138
2010-02-16,76.45,77.0,75.05,75.62,909330
2010-02-17,76.38,77.85,75.6,77.08,166784
2010-02-18,77.0,77.45,75.5,76.17,54334
2010-02-19,75.95,76.5,74.65,74.97,80388
2010-02-22,75.75,76.9,75.28,76.08,81654
2010-02-23,75.6,76.45,75.5,76.33,55482
2010-02-24,76.47,76.47,74.28,75.08,48196
2010-02-25,75.55,76.0,74.15,75.58,104102
2010-02-26,76.0,76.15,74.88,75.12,99260
2010-03-02,76.0,77.0,75.12,76.45,149206
2010-03-03,77.0,79.95,76.58,77.17,215910
2010-03-04,77.25,78.5,76.7,78.05,162122
2010-03-05,79.5,80.0,78.03,78.38,112132
2010-03-08,79.5,79.97,77.55,78.3,103950
2010-03-09,79.0,79.0,77.5,77.75,157418
2010-03-10,76.08,79.38,76.08,78.58,112652
2010-03-11,78.0,84.22,77.67,82.28,823368
2010-03-12,83.1,86.2,82.5,82.8,766624
2010-03-15,83.0,84.22,80.62,80.95,190960
2010-03-16,81.72,82.35,80.55,81.62,209920
2010-03-17,82.5,87.5,81.53,84.88,1266896
2010-03-18,86.0,86.3,83.8,84.22,276092
2010-03-19,84.7,85.15,81.83,83.15,244932
2010-03-22,82.0,84.9,81.88,83.03,147818
2010-03-23,83.6,84.2,82.88,83.25,93766
2010-03-25,83.25,84.0,80.05,81.1,179096
2010-03-26,81.7,84.2,81.0,82.33,275372
2010-03-29,83.22,83.22,80.15,81.12,223770
2010-03-30,72.5,82.45,72.5,82.05,234754
2010-03-31,82.05,82.75,81.5,82.1,154712
2010-04-01,83.0,85.58,82.5,84.42,378646
2010-04-05,85.97,86.38,85.0,85.75,274668
2010-04-06,85.85,87.62,84.3,86.75,476376
2010-04-07,87.5,87.5,85.0,85.83,212384
2010-04-08,86.0,86.38,84.0,84.85,107772
2010-04-09,85.05,88.75,85.05,88.17,1437478
2010-04-12,86.0,92.47,86.0,90.38,3457472
2010-04-13,91.5,92.72,88.28,88.75,929806
2010-04-15,87.5,91.45,87.5,89.28,595340
2010-04-16,89.45,89.45,86.12,86.53,286270
2010-04-19,85.0,86.25,83.15,84.7,170652
2010-04-20,84.7,88.38,84.7,86.15,249870
2010-04-21,87.25,87.4,85.17,85.5,258574
2010-04-22,85.75,86.2,84.6,85.42,408860
2010-04-23,85.58,88.75,85.25,88.1,697972
2010-04-26,88.4,88.6,86.78,87.12,203914
2010-04-27,87.0,88.7,84.85,87.12,778896
2010-04-28,85.5,86.45,83.28,84.47,431786
2010-04-29,84.97,86.5,84.9,85.1,216146
2010-04-30,86.0,87.17,85.0,85.05,512852
2010-05-03,85.0,86.0,84.58,85.1,322774
