Date,Open,High,Low,Close,Volume
2010-01-04,23.82,24.14,23.54,23.82,184542
2010-01-05,23.99,24.38,23.63,23.82,220844
2010-01-06,24.09,24.21,23.61,23.78,222302
2010-01-07,23.8,24.06,23.49,23.61,168916
2010-01-08,24.14,24.18,23.56,23.71,290486
2010-01-11,23.94,24.9,23.66,24.23,439018
2010-01-12,24.42,24.73,23.49,23.66,271714
2010-01-13,23.25,23.8,23.2,23.44,140588
2010-01-14,23.27,24.21,23.27,23.73,203866
2010-01-15,23.87,25.07,23.87,24.21,549636
2010-01-18,24.18,24.64,24.18,24.38,219562
2010-01-19,24.66,24.66,24.23,24.28,195810
2010-01-20,24.21,24.66,24.04,24.33,213938
2010-01-21,24.04,25.81,23.9,24.06,1120772
2010-01-22,23.75,23.9,22.77,23.49,262640
2010-01-25,23.47,24.76,23.08,24.06,350798
2010-01-27,23.85,23.94,22.51,22.7,245398
2010-01-28,23.23,23.49,22.27,22.6,281440
2010-01-29,22.75,23.13,21.86,22.51,363070
2010-02-01,22.94,23.82,22.75,23.71,294068
2010-02-02,24.16,24.3,23.32,23.47,274710
2010-02-03,23.37,23.37,22.75,22.82,176236
2010-02-04,22.99,22.99,22.03,22.12,91150
2010-02-05,21.31,21.53,20.59,21.17,174374
2010-02-06,21.24,21.69,21.24,21.53,19206
2010-02-08,21.74,21.96,21.02,21.48,84782
2010-02-09,21.84,21.84,21.31,21.43,60238
2010-02-10,21.57,22.22,21.33,21.5,79512
2010-02-11,21.96,21.96,21.53,21.69,62368
2010-02-15,22.03,22.03,21.1,21.69,65446
2010-02-16,21.74,21.81,21.5,21.65,41572
2010-02-17,21.79,22.22,21.67,21.77,69564
2010-02-18,21.79,21.84,21.38,21.55,57030
2010-02-19,21.5,21.55,21.1,21.33,58034
2010-02-22,21.79,21.86,21.43,21.45,97488
2010-02-23,21.31,21.57,21.12,21.21,52962
2010-02-24,21.67,21.67,21.1,21.26,67558
2010-02-25,21.36,21.38,21.0,21.12,40176
2010-02-26,21.48,21.55,20.83,21.31,71438
2010-03-02,21.96,21.96,21.19,21.62,74510
2010-03-03,21.93,21.96,21.5,21.72,133648
2010-03-04,21.62,22.58,21.62,21.91,132378
2010-03-05,22.12,22.27,22.03,22.15,73936
2010-03-08,22.08,22.44,22.03,22.1,68530
2010-03-09,22.39,22.39,22.03,22.12,67826
2010-03-10,22.27,22.6,22.03,22.36,122252
2010-03-11,22.22,25.29,22.12,23.11,3133530
2010-03-12,23.63,24.38,23.06,23.27,885546
2010-03-15,22.99,23.85,22.8,22.91,170900
2010-03-16,23.32,23.32,22.58,22.82,102022
2010-03-17,23.18,23.18,22.32,22.53,108684
2010-03-18,22.94,23.13,22.51,22.56,169358
2010-03-19,22.6,23.85,22.51,23.23,564416
