Date,Open,High,Low,Close,Volume
2010-01-04,566.38,579.58,564.39,573.77,183643
2010-01-05,577.0,586.33,571.59,575.91,161215
2010-01-06,579.88,584.1,571.93,574.02,61132
2010-01-07,579.58,589.11,571.09,584.49,140114
2010-01-08,591.19,595.17,579.88,584.69,281255
2010-01-11,586.73,590.0,582.41,586.13,73736
2010-01-12,588.66,588.71,566.82,573.87,116370
2010-01-13,565.88,579.78,565.88,577.59,81633
2010-01-14,582.56,587.72,579.13,584.54,86879
2010-01-15,587.72,610.45,586.73,602.31,421604
2010-01-18,604.1,616.61,598.24,602.76,454282
2010-01-19,603.31,603.31,588.86,593.28,141545
2010-01-20,595.66,602.56,581.37,584.59,72570
2010-01-21,589.71,590.7,561.01,564.99,136764
2010-01-22,561.91,561.91,534.76,555.45,126937
2010-01-25,557.39,561.61,539.07,555.31,75063
2010-01-27,550.89,559.92,541.61,547.71,213045
2010-01-28,555.95,558.93,521.4,525.87,200888
2010-01-29,527.66,528.05,500.36,522.64,117270
2010-02-01,526.17,528.6,511.28,521.01,158753
2010-02-02,528.95,537.83,514.5,518.37,134607
2010-02-03,522.99,535.1,518.42,526.71,97669
2010-02-04,529.15,529.2,519.52,523.44,112201
2010-02-05,516.24,518.03,506.41,512.12,63536
2010-02-06,514.25,517.68,511.28,514.85,8066
2010-02-08,516.24,525.77,511.28,521.4,53825
2010-02-09,519.22,530.14,515.64,527.16,54197
2010-02-10,534.11,536.1,514.25,518.33,47174
2010-02-11,517.63,526.12,514.25,523.34,51545
2010-02-15,524.18,527.16,520.21,524.28,12045
2010-02-16,530.04,536.1,522.45,532.22,28065
2010-02-17,536.1,545.92,532.12,535.85,89843
2010-02-18,536.29,539.47,526.32,527.86,22231
2010-02-19,526.32,529.15,518.23,522.54,94788
2010-02-22,525.67,531.63,524.18,527.86,61549
2010-02-23,525.67,530.14,517.33,525.67,23629
2010-02-24,528.05,528.05,517.53,522.54,57464
2010-02-25,518.23,530.14,514.5,524.73,96483
2010-02-26,537.09,537.09,519.22,530.39,36416
2010-03-02,538.08,538.08,526.32,530.54,35937
2010-03-03,532.17,549.9,531.68,546.02,57553
2010-03-04,548.01,555.95,543.34,550.39,65559
2010-03-05,559.92,660.44,552.97,557.04,130209
2010-03-08,563.6,572.63,551.29,560.37,89580
2010-03-09,561.96,567.86,552.97,560.62,61004
2010-03-10,557.94,571.84,553.92,566.77,77425
2010-03-11,567.07,581.76,565.88,576.9,101346
2010-03-12,580.17,582.76,573.82,580.22,88730
2010-03-15,575.91,583.75,567.07,580.77,126272
2010-03-16,578.78,582.51,573.82,577.44,24599
2010-03-17,578.54,582.71,573.82,578.64,57524
2010-03-18,577.2,590.15,573.82,580.47,104719
2010-03-19,579.78,591.69,575.81,586.53,47517
2010-03-22,579.78,589.71,576.3,580.97,147023
2010-03-23,591.84,605.59,580.97,602.12,137474
2010-03-25,603.6,615.22,603.6,609.06,200744
2010-03-26,610.06,626.93,604.1,622.02,282281
2010-03-29,624.1,632.2,620.48,623.21,124278
2010-03-30,624.01,628.87,616.61,620.73,60861
2010-03-31,625.45,626.44,610.7,620.13,103318
2010-04-01,625.4,625.45,612.54,617.16,28120
2010-04-05,614.67,631.4,614.67,626.09,161260
2010-04-06,627.08,638.15,621.52,624.45,117541
2010-04-07,627.43,630.11,618.5,627.23,41088
2010-04-08,628.67,632.1,613.63,615.57,40738
2010-04-09,620.03,625.0,612.04,615.91,46537
2010-04-12,618.5,624.45,611.55,615.82,45640
2010-04-13,615.22,625.05,610.55,622.71,66632
2010-04-15,623.46,634.83,611.65,616.61,258506
2010-04-16,613.53,619.44,607.58,615.42,41517
2010-04-19,610.26,610.26,593.78,601.77,30441
2010-04-20,602.71,615.52,602.71,613.23,30270
2010-04-21,615.52,620.78,612.54,617.75,30064
2010-04-22,615.52,623.46,610.75,617.16,146583
2010-04-23,617.45,618.0,608.67,611.5,14003
2010-04-26,605.74,614.52,603.6,607.53,26584
2010-04-27,605.59,608.77,597.85,600.38,21223
2010-04-28,587.72,618.4,587.72,605.44,145774
2010-04-29,601.62,614.43,601.12,604.0,104617
2010-04-30,611.55,616.51,603.6,610.65,56743
2010-05-03,604.1,614.03,600.63,601.42,70566
2010-05-04,605.49,605.49,578.83,584.05,60880
2010-05-05,574.81,597.25,558.04,592.19,324447
2010-05-06,583.75,595.61,579.33,590.0,30480
2010-05-07,583.75,585.73,568.06,573.03,80876
2010-05-10,572.83,581.96,570.94,573.67,66137
2010-05-11,582.76,582.76,564.89,567.52,46136
2010-05-12,569.75,577.2,556.94,572.28,39825
2010-05-13,576.5,590.7,572.83,587.62,80183
2010-05-14,578.78,587.22,578.78,583.2,57208
2010-05-17,575.81,579.78,570.84,575.61,22828
2010-05-18,584.74,593.68,578.88,588.61,34564
2010-05-19,585.73,588.46,567.17,574.02,27084
2010-05-20,567.86,578.69,564.54,571.74,24303
2010-05-21,564.89,577.79,551.04,571.69,40580
2010-05-24,578.93,590.7,569.85,574.52,38045
2010-05-25,570.84,570.84,546.02,552.03,59878
2010-05-26,551.24,562.9,546.02,559.08,84151
2010-05-27,556.0,569.85,556.0,567.32,79135
2010-05-28,579.78,590.15,573.08,584.44,52312
2010-05-31,589.71,601.62,578.78,582.46,106806
2010-06-01,582.76,584.25,574.02,577.4,25316
2010-06-02,577.79,586.68,573.82,583.25,29067
2010-06-03,585.88,611.35,585.88,600.58,210848
2010-06-04,601.72,609.56,597.8,603.55,105528
2010-06-07,496.38,596.61,496.38,592.49,42048
2010-06-08,594.67,610.45,588.96,598.94,93325
2010-06-09,596.65,605.59,593.68,600.97,53574
2010-06-10,601.62,607.58,595.66,600.28,40680
2010-06-11,605.29,605.29,588.81,591.49,60970
2010-06-14,598.54,598.54,589.71,593.53,36888
2010-06-15,600.63,608.57,593.18,594.92,134176
2010-06-16,600.63,600.63,588.22,593.13,39436
2010-06-17,591.69,600.68,585.93,595.76,34760
2010-06-18,602.61,602.61,586.23,587.62,37892
2010-06-21,586.83,606.58,586.83,602.81,122273
2010-06-22,603.55,619.49,599.88,610.35,167486
2010-06-23,608.92,629.12,608.92,623.11,160398
2010-06-24,624.95,631.9,616.86,625.84,97353
2010-06-25,630.41,674.98,626.44,657.96,677025
2010-06-28,664.16,664.56,650.36,654.73,110102
2010-06-29,650.56,654.73,640.93,645.8,50975
2010-06-30,643.27,673.1,640.34,666.69,243991
2010-07-01,665.75,667.14,652.25,654.78,36325
2010-07-02,655.63,667.14,650.91,655.58,45999
2010-07-05,655.23,662.18,648.53,652.55,33597
2010-07-06,652.75,657.11,649.27,655.08,46881
2010-07-07,661.58,661.58,646.29,648.78,29914
2010-07-08,652.25,664.16,650.31,652.2,76821
2010-07-09,653.04,655.13,637.36,650.91,96103
2010-07-12,657.21,658.7,644.8,645.75,52834
2010-07-13,642.32,653.09,636.61,641.03,110904
2010-07-14,648.08,648.08,639.39,642.27,28983
2010-07-15,646.19,646.29,632.0,637.85,38990
2010-07-16,641.33,668.73,629.42,633.54,38314
2010-07-19,630.41,639.34,627.43,634.78,31366
2010-07-20,640.34,640.34,612.39,625.05,146533
2010-07-21,629.42,635.27,612.54,630.76,225719
2010-07-22,632.79,645.3,628.42,643.71,138549
2010-07-23,651.11,706.85,647.34,699.31,1226329
2010-07-26,703.87,703.87,674.14,677.47,190591
2010-07-27,682.93,703.58,668.33,686.4,207445
2010-07-28,691.56,699.8,678.06,680.0,139255
2010-07-29,680.0,696.92,678.41,689.13,124265
