Date,Open,High,Low,Close,Volume
2010-01-04,169.62,172.47,168.88,170.19,3050490
2010-01-05,170.62,172.12,170.12,170.34,8386600
2010-01-06,171.02,171.62,168.44,170.46,6639840
2010-01-07,176.45,176.45,169.78,170.9,6123980
2010-01-08,170.82,171.96,169.72,171.12,7085900
2010-01-11,174.48,174.48,169.87,170.44,13766610
2010-01-12,170.42,170.8,167.49,169.14,4907050
2010-01-13,168.12,169.1,166.19,168.55,10346750
2010-01-14,170.62,171.0,166.63,168.01,10172640
2010-01-15,169.46,169.52,166.73,169.04,11581730
2010-01-18,168.62,177.41,167.84,176.27,23501460
2010-01-19,176.11,178.48,174.9,177.52,16664220
2010-01-20,178.1,178.6,173.91,175.22,13652110
2010-01-21,175.7,175.7,170.13,170.78,12523470
2010-01-22,169.22,169.62,165.03,167.34,9473700
2010-01-25,165.63,167.42,162.77,165.3,6028790
2010-01-27,165.74,165.74,158.34,159.37,12107790
2010-01-28,160.64,161.54,157.33,158.97,17432230
2010-01-29,157.65,163.34,154.91,162.74,16435170
2010-02-01,162.44,162.44,158.15,159.62,7517330
2010-02-02,160.34,161.13,156.85,157.56,10334700
2010-02-03,159.64,162.88,157.45,161.91,7727670
2010-02-04,161.44,162.13,158.2,161.32,8605240
2010-02-05,159.45,159.45,156.15,156.99,9346940
2010-02-06,158.59,158.59,156.4,157.23,422380
2010-02-08,158.15,158.53,154.56,156.39,7590600
2010-02-09,156.33,157.44,154.81,156.82,11973750
2010-02-10,157.15,161.39,156.05,159.0,13866680
2010-02-11,160.04,162.94,158.65,159.45,7269690
2010-02-15,159.35,161.61,157.9,161.02,4802490
2010-02-16,160.14,161.91,158.65,160.28,7174850
2010-02-17,161.44,165.73,161.13,165.23,12398340
2010-02-18,166.12,168.62,164.71,168.0,10004420
2010-02-19,166.63,169.62,165.24,169.01,7345990
2010-02-22,169.72,171.59,168.62,169.28,6640170
2010-02-23,168.13,170.51,167.86,169.72,6472890
2010-02-24,168.62,170.62,168.38,169.67,5605690
2010-02-25,169.72,170.02,167.83,168.73,5836970
