Date,Open,High,Low,Close,Volume
2010-01-04,323.69,326.17,321.87,324.01,4069264
2010-01-05,324.93,326.26,322.46,325.1,6895528
2010-01-06,332.74,332.74,319.36,320.35,6817288
2010-01-07,320.79,320.79,312.31,313.16,10892600
2010-01-08,312.41,312.94,304.84,305.61,12649312
2010-01-11,306.96,310.63,306.82,308.77,7849656
2010-01-12,310.05,321.71,310.05,320.83,24859680
2010-01-13,307.18,334.23,307.18,332.81,19704040
2010-01-14,332.25,335.21,328.68,333.58,8413904
2010-01-15,333.58,333.92,329.17,331.85,5049504
2010-01-18,330.26,333.61,329.4,333.2,6140088
2010-01-19,332.37,333.36,325.94,326.9,5837512
2010-01-20,328.48,331.53,327.16,329.61,6091992
2010-01-21,327.78,330.47,322.45,325.58,6682792
2010-01-22,322.45,323.69,316.5,319.42,13486496
2010-01-25,316.25,318.72,312.28,315.29,6498712
2010-01-27,314.02,314.25,308.21,310.33,9840856
2010-01-28,311.66,316.86,307.51,309.03,12732872
2010-01-29,304.15,310.05,298.24,307.01,15012280
2010-02-01,303.48,313.77,296.42,304.0,12308784
2010-02-02,310.17,310.17,300.33,302.6,9889384
2010-02-03,303.85,310.05,303.85,306.73,6405608
2010-02-04,305.71,306.33,299.2,301.25,6176408
2010-02-05,296.46,297.45,288.84,291.78,13544872
2010-02-06,292.81,296.23,292.55,295.1,479320
2010-02-08,294.53,302.86,290.76,298.09,9252480
2010-02-09,298.14,307.82,296.93,306.8,10387392
2010-02-10,308.93,309.58,303.6,305.95,7187984
2010-02-11,306.7,312.3,306.33,309.86,6453888
2010-02-15,310.92,315.31,306.93,309.88,8950128
2010-02-16,310.05,316.37,308.59,315.19,4418096
2010-02-17,316.27,318.28,311.74,312.36,7991184
2010-02-18,312.9,315.88,311.54,314.22,3721696
2010-02-19,313.14,315.57,310.69,314.07,5998992
2010-02-22,316.88,321.42,316.88,318.53,5855400
2010-02-23,317.25,321.09,316.87,320.13,3786032
2010-02-24,318.48,322.24,316.37,319.51,5427016
2010-02-25,318.8,326.13,318.8,324.6,8729568
2010-02-26,324.81,326.17,320.23,322.69,10546368
2010-03-02,326.36,328.74,325.26,327.54,8534656
2010-03-03,328.79,331.94,326.5,330.67,5904976
2010-03-04,330.14,330.39,322.95,325.4,6755240
2010-03-05,326.65,327.41,324.07,326.88,4984808
2010-03-08,329.02,332.29,327.18,329.84,8664992
2010-03-09,328.66,335.04,324.66,332.86,7958752
2010-03-10,331.74,333.79,328.65,329.8,7330952
2010-03-11,330.51,334.23,328.65,332.74,4298424
2010-03-12,334.84,335.35,329.43,331.54,3176920
2010-03-15,329.2,336.4,326.92,335.01,10582856
2010-03-16,334.85,340.43,332.66,338.86,5881344
2010-03-17,339.19,341.51,336.46,339.6,6352000
2010-03-18,339.81,346.5,339.81,345.72,8923048
2010-03-19,344.79,346.63,342.3,343.83,12582544
2010-03-22,341.31,344.4,340.17,341.97,4108528
2010-03-23,343.54,347.13,342.81,344.22,4792560
2010-03-25,343.66,355.94,341.16,348.98,15207528
2010-03-26,349.24,350.36,342.67,344.14,9105680
2010-03-29,342.05,343.53,334.88,336.92,13981704
2010-03-30,336.71,336.71,326.25,327.92,10649936
2010-03-31,329.14,331.96,323.27,324.43,13070104
2010-04-01,324.96,332.12,324.93,331.19,8187000
2010-04-05,332.25,333.61,327.16,332.12,7318616
2010-04-06,332.62,332.99,328.06,328.81,5348808
2010-04-07,329.34,331.73,324.61,327.88,8380880
2010-04-08,327.41,332.11,326.17,330.36,7227984
2010-04-09,331.13,334.57,330.51,331.9,8260312
2010-04-12,333.1,334.6,328.91,332.76,8325648
2010-04-13,333.61,346.49,326.79,345.01,57635400
2010-04-15,345.77,350.32,342.21,347.45,22395128
2010-04-16,346.27,348.37,343.66,345.84,6244344
2010-04-19,344.11,344.11,339.32,341.29,8754896
2010-04-20,342.98,346.01,337.33,338.24,9542128
2010-04-21,340.19,341.02,334.89,336.4,6496288
2010-04-22,335.84,342.65,333.98,337.13,6978144
2010-04-23,339.19,341.51,336.94,338.19,5888336
2010-04-26,338.59,341.55,337.96,339.68,4454288
2010-04-27,338.46,340.11,338.13,339.5,3280256
2010-04-28,336.11,338.82,333.75,334.79,5544496
2010-04-29,334.73,338.93,331.75,335.99,11319960
2010-04-30,336.34,342.14,332.01,339.58,8067024
2010-05-03,335.84,336.71,332.62,334.22,5408952
2010-05-04,335.47,335.6,329.33,330.65,6576208
2010-05-05,328.58,335.84,323.69,333.98,12122080
2010-05-06,333.65,333.65,328.1,329.66,7808360
2010-05-07,327.18,328.07,323.33,324.54,8984392
2010-05-10,324.93,332.84,324.93,331.84,5635408
2010-05-11,331.11,331.69,326.92,329.98,5802824
2010-05-12,329.4,334.72,328.93,332.58,9185176
2010-05-13,332.87,337.71,330.05,335.62,4923880
2010-05-14,336.09,338.2,326.17,328.89,6824496
2010-05-17,326.79,328.41,319.48,324.48,8170824
2010-05-18,329.89,329.89,320.22,326.07,7144600
2010-05-19,325.68,328.94,321.64,322.8,11939240
2010-05-20,323.94,326.74,320.78,322.54,6508872
2010-05-21,318.48,323.44,317.29,320.19,7127200
2010-05-24,323.81,326.17,319.88,322.5,7186104
2010-05-25,320.82,320.82,311.3,314.19,8838128
2010-05-26,318.12,327.4,317.02,325.06,7868856
2010-05-27,325.9,330.39,321.84,327.83,11312696
2010-05-28,331.14,332.92,327.08,332.06,6793992
2010-05-31,339.19,339.19,325.5,329.64,7020752
2010-06-01,329.27,329.58,324.63,325.47,5782888
2010-06-02,326.79,328.89,325.44,327.44,6557144
2010-06-03,329.89,335.57,329.89,334.6,5517096
2010-06-04,334.6,339.57,332.68,338.44,4950400
2010-06-07,336.09,336.09,328.65,331.34,7781952
2010-06-08,331.34,333.49,328.39,329.21,6651144
2010-06-09,330.88,330.88,324.5,325.54,5427120
2010-06-10,325.58,329.15,325.0,328.1,5187448
