Date,Open,High,Low,Close,Volume
2010-01-04,561.78,574.88,557.18,572.4,5846060
2010-01-05,576.73,591.41,576.73,586.26,8188971
2010-01-06,596.1,596.1,575.33,579.89,7715073
2010-01-07,582.47,589.6,578.13,586.89,8014493
2010-01-08,587.98,597.46,578.85,585.67,8606348
2010-01-11,587.07,592.4,582.74,585.72,6970181
2010-01-12,579.4,585.94,563.45,564.99,7171326
2010-01-13,555.46,579.67,555.46,577.36,10826754
2010-01-14,582.33,588.16,579.44,584.99,6971960
2010-01-15,587.07,587.93,578.04,582.69,4505483
2010-01-18,579.85,579.85,569.69,575.78,6244042
2010-01-19,574.43,583.1,570.81,575.92,5264461
2010-01-20,576.23,593.76,576.23,590.41,8322380
2010-01-21,586.62,595.65,580.07,585.27,11458461
2010-01-22,579.03,579.03,557.27,564.09,9215912
2010-01-25,559.98,565.12,548.14,550.85,5592987
2010-01-27,541.82,547.06,499.69,505.47,11446215
2010-01-28,511.2,532.34,510.3,528.73,13207080
2010-01-29,522.04,524.75,498.29,514.0,12165082
2010-02-01,505.79,528.18,503.93,523.71,7260366
2010-02-02,528.36,537.04,515.4,517.8,9649261
2010-02-03,522.04,545.16,521.23,542.27,9474262
2010-02-04,538.3,538.3,518.43,521.77,7304201
2010-02-05,487.72,507.14,487.72,496.93,9225464
2010-02-06,501.27,508.49,497.84,504.84,860617
2010-02-08,496.75,511.11,476.97,482.17,14971520
2010-02-09,479.59,489.71,478.69,481.9,7711780
2010-02-10,484.11,491.97,469.03,471.87,7271403
2010-02-11,474.04,486.23,474.04,482.26,6743500
2010-02-15,485.46,491.79,479.23,487.63,7621681
2010-02-16,489.53,498.56,487.77,496.84,6743624
2010-02-17,492.33,529.54,492.33,527.78,10063832
2010-02-18,527.46,530.17,514.91,521.27,5124725
2010-02-19,513.01,516.98,502.67,506.46,7950933
2010-02-22,513.01,524.21,512.11,517.3,6044280
2010-02-23,512.2,524.21,510.39,519.78,5977766
2010-02-24,516.62,519.15,508.99,512.38,5401379
2010-02-25,513.91,518.43,505.83,514.14,4582727
2010-02-26,514.82,534.96,509.4,518.75,5745712
2010-03-02,524.89,551.62,524.89,549.95,7003779
2010-03-03,550.94,557.54,545.8,549.32,6522374
2010-03-04,550.94,560.52,544.71,557.76,7670877
2010-03-05,559.98,566.75,556.36,558.26,4859328
2010-03-08,563.27,567.2,557.04,561.56,4596968
2010-03-09,559.98,562.1,551.85,555.19,3947014
2010-03-10,556.41,559.71,544.17,552.93,3710151
2010-03-11,552.75,555.46,544.08,549.41,3509932
2010-03-12,550.94,554.47,545.21,548.73,4202058
2010-03-15,546.61,557.18,545.66,550.99,3566414
2010-03-16,551.76,569.91,549.36,566.48,4683917
2010-03-17,484.11,581.2,484.11,570.91,6006298
2010-03-18,573.52,579.53,569.1,577.32,4272406
2010-03-19,578.49,583.01,574.74,581.88,3615402
2010-03-22,574.56,581.38,565.98,568.15,4037482
2010-03-23,570.81,578.27,567.74,576.19,3967342
2010-03-25,575.33,578.85,564.09,576.41,4496804
2010-03-26,578.04,587.07,574.7,581.74,3855034
2010-03-29,577.86,587.84,574.79,581.25,2680659
2010-03-30,582.56,587.07,570.91,573.3,3166991
2010-03-31,573.52,577.68,565.49,570.86,4139440
2010-04-01,574.43,590.68,573.71,589.06,4467165
2010-04-05,591.77,613.99,591.77,612.81,6318381
2010-04-06,615.52,627.63,607.85,621.03,6141127
2010-04-07,623.2,625.73,611.91,619.27,4102457
2010-04-08,614.17,667.46,603.51,606.26,4083658
2010-04-09,608.75,619.59,606.22,610.74,3314723
2010-04-12,612.36,621.75,605.59,618.01,4308223
2010-04-13,616.38,626.36,610.15,624.96,5470195
2010-04-15,628.53,633.41,612.45,619.68,5510164
2010-04-16,617.78,630.7,610.56,628.35,4532382
2010-04-19,616.61,621.39,598.32,604.96,6686349
2010-04-20,607.85,618.68,601.07,605.9,4605060
2010-04-21,607.94,613.99,601.25,604.1,3293128
2010-04-22,600.71,608.25,586.8,591.86,6876437
2010-04-23,592.49,598.54,580.8,585.58,6712295
2010-04-26,587.07,600.35,587.07,593.26,4446869
2010-04-27,591.68,594.03,583.78,584.81,3830518
2010-04-28,581.65,581.65,562.1,563.91,5350427
2010-04-29,567.2,578.58,565.67,571.4,5489558
2010-04-30,578.49,581.65,555.46,558.94,7845092
2010-05-03,550.94,558.03,545.53,548.28,5748918
2010-05-04,548.24,568.87,516.76,521.91,9144343
2010-05-05,514.82,521.5,501.9,517.62,12313450
2010-05-06,517.53,523.76,506.87,520.15,8453039
2010-05-07,505.79,513.91,498.97,504.3,7447968
2010-05-10,540.92,547.33,509.4,543.22,8031682
2010-05-11,546.43,549.86,522.95,525.7,9562682
2010-05-12,525.66,531.07,516.62,527.87,6704871
2010-05-13,528.36,536.18,516.22,519.42,5811149
2010-05-14,518.43,518.43,492.69,494.9,8500541
2010-05-17,480.99,488.44,472.37,484.42,11524972
2010-05-18,486.64,488.9,476.43,478.96,9870875
2010-05-19,474.17,478.24,460.94,462.88,11378116
2010-05-20,465.14,471.46,455.21,458.95,9298835
2010-05-21,449.34,463.34,440.12,459.95,12942153
2010-05-24,466.05,473.27,447.17,452.54,7073952
2010-05-25,447.08,447.08,428.34,430.5,11537771
2010-05-26,431.72,449.92,430.91,437.55,13421044
2010-05-27,436.24,449.25,427.7,444.68,19500520
2010-05-28,451.59,459.27,442.61,448.75,15349727
2010-05-31,448.75,454.17,439.18,452.23,9583359
2010-06-01,451.59,458.64,430.82,433.53,12092259
2010-06-02,438.05,439.76,430.28,437.41,10434738
2010-06-03,442.65,446.81,436.47,438.77,9927630
2010-06-04,437.59,442.56,432.22,438.27,8641177
2010-06-07,425.4,425.4,413.21,417.41,8759439
2010-06-08,419.31,421.7,405.62,407.7,9448884
2010-06-09,409.14,421.16,406.93,418.22,11635703
2010-06-10,423.41,427.52,413.39,425.81,8109464
2010-06-11,429.01,432.09,425.09,427.75,7295970
2010-06-14,430.01,439.31,429.51,437.32,5646783
2010-06-15,437.32,445.95,434.12,444.28,6307191
2010-06-16,447.17,449.79,436.96,438.54,7032037
2010-06-17,438.95,439.81,430.32,434.39,8069712
2010-06-18,435.88,439.31,425.58,427.89,6304470
2010-06-21,433.62,457.42,433.62,455.93,10869471
2010-06-22,458.82,458.82,444.64,446.22,7571813
2010-06-23,443.47,453.22,442.07,449.43,8473144
2010-06-24,449.79,457.46,447.08,450.15,9439036
2010-06-25,449.79,453.31,441.03,442.61,6289686
2010-06-28,442.83,453.08,442.83,451.68,4347475
2010-06-29,451.41,451.59,433.53,434.98,7145248
2010-06-30,424.59,440.26,424.59,438.63,6243758
2010-07-01,436.87,438.95,426.53,429.01,5215328
2010-07-02,429.1,434.43,425.54,428.97,5640183
2010-07-05,429.92,430.01,424.5,426.08,2661871
2010-07-06,427.21,435.29,422.78,433.89,5562171
2010-07-07,437.14,437.14,427.66,428.92,7949278
2010-07-08,437.14,441.57,431.81,437.82,5571719
2010-07-09,441.43,449.7,439.4,447.94,6696248
2010-07-12,447.08,457.01,443.92,449.56,8098718
2010-07-13,447.26,462.75,447.08,459.54,8157552
2010-07-14,465.14,469.21,455.21,456.92,7135212
2010-07-15,457.92,466.95,457.1,463.11,7871718
2010-07-16,464.24,467.85,457.92,459.5,4283600
2010-07-19,453.4,464.42,453.4,461.8,4255101
2010-07-20,465.14,469.12,456.34,460.04,5378683
2010-07-21,467.85,480.81,461.66,479.46,11635135
2010-07-22,478.69,489.89,471.69,488.49,11183908
2010-07-23,488.62,495.76,481.85,483.79,7027966
2010-07-26,484.29,488.58,415.47,480.86,4780488
2010-07-27,487.72,489.53,475.26,478.55,5550404
2010-07-28,478.78,487.18,478.01,481.04,5118620
2010-07-29,479.59,484.56,476.34,481.49,4228710
2010-07-30,478.69,491.15,478.69,485.01,5890378
2010-08-02,406.43,495.67,406.43,494.27,4054085
2010-08-03,496.75,497.88,490.61,494.04,4417673
2010-08-04,494.04,496.66,485.1,488.22,2621713
2010-08-05,491.74,494.04,485.06,486.14,2927418
2010-08-06,485.82,491.92,478.24,480.04,3429876
2010-08-09,482.3,489.53,479.73,487.81,2646724
2010-08-10,488.62,499.73,481.99,484.42,7635574
2010-08-11,485.92,494.77,468.44,469.88,8801106
2010-08-12,467.85,479.59,458.37,469.61,12728999
2010-08-13,487.72,487.72,473.09,476.16,8230961
2010-08-16,477.02,484.88,465.14,467.67,7923317
2010-08-17,468.57,473.09,461.71,463.88,7598922
2010-08-18,465.14,472.32,464.55,471.33,5859717
2010-08-19,471.33,478.19,468.21,471.74,4904961
2010-08-20,469.66,472.28,466.99,468.66,4648068
2010-08-23,469.66,475.8,469.34,471.06,4691647
2010-08-24,471.06,474.99,460.99,464.01,4588712
2010-08-25,461.53,463.34,445.27,448.88,9597437
2010-08-26,451.59,455.93,448.88,453.26,6239775
2010-08-27,456.11,471.46,453.4,460.76,9918259
2010-08-30,470.56,478.15,469.79,476.79,8015425
2010-08-31,473.36,476.57,465.64,472.1,7618571
2010-09-01,475.08,486.82,474.81,485.87,7975671
2010-09-02,489.53,494.04,487.81,491.38,6256105
2010-09-03,492.24,493.14,484.42,488.58,3749208
2010-09-06,491.33,521.73,490.52,519.97,16624805
2010-09-07,517.71,527.87,515.04,520.6,9208945
2010-09-08,516.62,529.76,512.92,524.39,8560157
2010-09-09,526.56,538.89,519.38,536.18,8909910
2010-09-13,541.01,547.96,537.76,543.27,7874571
2010-09-14,545.89,556.23,537.49,539.11,8214490
2010-09-15,541.91,550.72,540.47,545.25,7572139
2010-09-16,548.14,551.58,534.78,537.71,7378115
2010-09-17,539.52,554.78,539.52,546.25,10325872
2010-09-20,548.19,561.69,546.97,558.17,8749734
2010-09-21,560.16,563.36,551.4,555.78,7222563
